asset_hash	type_hash	type_name	scope	wad	row_index	block_index	block_path	lod_rungs	payload_bytes	payload_fnv1a64	verdict
0x11BBEE64	0x207359C7	animationtable	cross	shell.wad	206	17	blocks\Shell\resident_P000_Q3.block	1	8521	29E88E425A1E4DCE	IDENTICAL
0x11BBEE64	0x207359C7	animationtable	cross	vz.wad	10623	3185	blocks\VZ\resident_P000_Q3.block	1	8521	29E88E425A1E4DCE	IDENTICAL
0x13C26ABC	0x99E77ACE	font	cross	shell.wad	220	29	blocks\Shell\english_P000_Q3.block	1	4738	F8F3F473D5FBDCA4	IDENTICAL
0x13C26ABC	0x99E77ACE	font	cross	vz.wad	11382	3419	blocks\VZ\english_P000_Q3.block	1	4738	F8F3F473D5FBDCA4	IDENTICAL
0x169561D0	0xF011157A	texture	cross	shell.wad	119	18	blocks\Shell\scaleform_shell_P000_Q3.block	1	524445	7EA9FD26EF703976	DIVERGENT
0x169561D0	0xF011157A	texture	cross	English.wad	51	17	blocks\English\shell_P000_Q3.block	1	524447	5D13603CA8919A0D	DIVERGENT
0x18891AF0	0xFE0E8320	scaleformgfx	cross	shell.wad	46	6	blocks\Shell\_shell_bold_font_P000_Q3.block	1	7239	0416693CC2175C9B	IDENTICAL
0x18891AF0	0xFE0E8320	scaleformgfx	cross	vz.wad	2793	1964	blocks\VZ\c31632_P000_Q3.block	1	7239	0416693CC2175C9B	IDENTICAL
0x1AE56060	0xFE0E8320	scaleformgfx	cross	shell.wad	302	17	blocks\Shell\resident_P000_Q3.block	1	65367	90AED2CD58716610	IDENTICAL
0x1AE56060	0xFE0E8320	scaleformgfx	cross	vz.wad	16183	3185	blocks\VZ\resident_P000_Q3.block	1	65367	90AED2CD58716610	IDENTICAL
0x1D3F5708	0xF011157A	texture	cross	shell.wad	296	17	blocks\Shell\resident_P000_Q3.block	1	131208	185ABEFC130A038D	IDENTICAL
0x1D3F5708	0xF011157A	texture	cross	vz.wad	15806	3185	blocks\VZ\resident_P000_Q3.block	1	131208	185ABEFC130A038D	IDENTICAL
0x1D7DD146	0xF011157A	texture	cross	shell.wad	134	8	blocks\Shell\common_P000_Q3.block	1	8408	321E40D1EB8B12C8	IDENTICAL
0x1D7DD146	0xF011157A	texture	cross	vz.wad	7004	3058	blocks\VZ\common_P000_Q3.block	1	8408	321E40D1EB8B12C8	IDENTICAL
0x241661ED	0xFE0E8320	scaleformgfx	cross	shell.wad	203	7	blocks\Shell\_shell_bold_italic_font_P000_Q3.block	1	7383	1AC45EC537224FF9	IDENTICAL
0x241661ED	0xFE0E8320	scaleformgfx	cross	vz.wad	10555	1965	blocks\VZ\c31633_P000_Q3.block	1	7383	1AC45EC537224FF9	IDENTICAL
0x27AE0359	0xF011157A	texture	cross	shell.wad	533	17	blocks\Shell\resident_P000_Q3.block	1	349654	35F638FE49441B13	IDENTICAL
0x27AE0359	0xF011157A	texture	cross	vz.wad	28695	3185	blocks\VZ\resident_P000_Q3.block	1	349654	35F638FE49441B13	IDENTICAL
0x2873D252	0xF011157A	texture	cross	shell.wad	545	17	blocks\Shell\resident_P000_Q3.block	1	349659	B23797682FE46B67	IDENTICAL
0x2873D252	0xF011157A	texture	cross	vz.wad	28921	3185	blocks\VZ\resident_P000_Q3.block	1	349659	B23797682FE46B67	IDENTICAL
0x2ABE822D	0xF011157A	texture	cross	shell.wad	477	8	blocks\Shell\common_P000_Q3.block	1	16600	3B3C4F71AF82145E	IDENTICAL
0x2ABE822D	0xF011157A	texture	cross	vz.wad	24964	3058	blocks\VZ\common_P000_Q3.block	1	16600	3B3C4F71AF82145E	IDENTICAL
0x2C7C1360	0xF011157A	texture	cross	shell.wad	405	10	blocks\Shell\font_16_main_P000_Q3.block	1	65746	09A857CD32DA8AEA	IDENTICAL
0x2C7C1360	0xF011157A	texture	cross	vz.wad	21603	3079	blocks\VZ\font_16_main_P000_Q3.block	1	65746	09A857CD32DA8AEA	IDENTICAL
0x2F66EAAF	0x42498680	script	cross	shell.wad	48	17	blocks\Shell\resident_P000_Q3.block	1	1335	543DA7F7EF4F0331	IDENTICAL
0x2F66EAAF	0x42498680	script	cross	vz.wad	2824	3185	blocks\VZ\resident_P000_Q3.block	1	1335	543DA7F7EF4F0331	IDENTICAL
0x3054834C	0x8F0A54E2	binary	cross	shell.wad	549	17	blocks\Shell\resident_P000_Q3.block	1	54	83E8A97F15B15409	IDENTICAL
0x3054834C	0x8F0A54E2	binary	cross	vz.wad	29332	3185	blocks\VZ\resident_P000_Q3.block	1	54	83E8A97F15B15409	IDENTICAL
0x30A64191	0xF011157A	texture	cross	shell.wad	342	18	blocks\Shell\scaleform_shell_P000_Q3.block	1	65678	8B79AF57D4038648	DIVERGENT
0x30A64191	0xF011157A	texture	cross	English.wad	50	17	blocks\English\shell_P000_Q3.block	1	65680	F2737AC3E0525C2E	DIVERGENT
0x313554DE	0xF011157A	texture	cross	shell.wad	487	11	blocks\Shell\font_16_tm_P000_Q3.block	1	720	93D52252D8B3C8AB	IDENTICAL
0x313554DE	0xF011157A	texture	cross	vz.wad	25425	3089	blocks\VZ\font_16_tm_P000_Q3.block	1	720	93D52252D8B3C8AB	IDENTICAL
0x31A0438B	0x8F0A54E2	binary	cross	shell.wad	504	23	blocks\Shell\ps3saveassets_fr_P000_Q3.block	1	54	83E8A97F15B15409	IDENTICAL
0x31A0438B	0x8F0A54E2	binary	cross	vz.wad	26651	3243	blocks\VZ\ps3saveassets_fr_P000_Q3.block	1	54	83E8A97F15B15409	IDENTICAL
0x339761F4	0x99E77ACE	font	cross	shell.wad	391	17	blocks\Shell\resident_P000_Q3.block	1	3768	44CB8D133F70930C	IDENTICAL
0x339761F4	0x99E77ACE	font	cross	vz.wad	20683	3185	blocks\VZ\resident_P000_Q3.block	1	3768	44CB8D133F70930C	IDENTICAL
0x343B8D58	0xF011157A	texture	cross	vz.wad	5273	3185	blocks\VZ\resident_P000_Q3.block	1	131208	8F712087EADD61D0	DIVERGENT
0x343B8D58	0xF011157A	texture	cross	English.wad	4	41	blocks\English\guilayouts_P000_Q3.block	1	131216	14CC6297DE0C6B4A	DIVERGENT
0x3601AA34	0xF011157A	texture	cross	shell.wad	238	8	blocks\Shell\common_P000_Q3.block	1	65754	F947A1EC8FE4B073	IDENTICAL
0x3601AA34	0xF011157A	texture	cross	vz.wad	12167	3058	blocks\VZ\common_P000_Q3.block	1	65754	F947A1EC8FE4B073	IDENTICAL
0x37750257	0xE5273C14	sounddb	cross	shell.wad	130	13	blocks\Shell\mercs2globals_P000_Q3.block	1	236	32AB5A65A47AA8D9	IDENTICAL
0x37750257	0xE5273C14	sounddb	cross	vz.wad	6801	3111	blocks\VZ\mercs2globals_P000_Q3.block	1	236	32AB5A65A47AA8D9	IDENTICAL
0x3A015234	0x8F0A54E2	binary	cross	shell.wad	255	4	blocks\Shell\ps3saveassets_it_P000_Q3.block	1	54	83E8A97F15B15409	IDENTICAL
0x3A015234	0x8F0A54E2	binary	cross	vz.wad	13436	2995	blocks\VZ\ps3saveassets_it_P000_Q3.block	1	54	83E8A97F15B15409	IDENTICAL
0x3B9C7A57	0xF011157A	texture	cross	shell.wad	510	17	blocks\Shell\resident_P000_Q3.block	1	131208	CB7125DA53BA7800	IDENTICAL
0x3B9C7A57	0xF011157A	texture	cross	vz.wad	27173	3185	blocks\VZ\resident_P000_Q3.block	1	131208	CB7125DA53BA7800	IDENTICAL
0x3BBEA46C	0xFE0E8320	scaleformgfx	cross	shell.wad	202	17	blocks\Shell\resident_P000_Q3.block	1	5875	B9C7403D24B3F486	IDENTICAL
0x3BBEA46C	0xFE0E8320	scaleformgfx	cross	vz.wad	10549	3185	blocks\VZ\resident_P000_Q3.block	1	5875	B9C7403D24B3F486	IDENTICAL
0x3CC34BA0	0xFE0E8320	scaleformgfx	cross	shell.wad	58	17	blocks\Shell\resident_P000_Q3.block	1	9024	0D285B67C3C0DD0D	IDENTICAL
0x3CC34BA0	0xFE0E8320	scaleformgfx	cross	vz.wad	3207	3185	blocks\VZ\resident_P000_Q3.block	1	9024	0D285B67C3C0DD0D	IDENTICAL
0x40BA4038	0xF011157A	texture	cross	shell.wad	519	29	blocks\Shell\english_P000_Q3.block	1	131285	5F829DEE79F78F65	IDENTICAL
0x40BA4038	0xF011157A	texture	cross	vz.wad	28064	3419	blocks\VZ\english_P000_Q3.block	1	131285	5F829DEE79F78F65	IDENTICAL
0x4111ECDA	0x9F8BCA10	soundbank	cross	shell.wad	175	14	blocks\Shell\music_P000_Q3.block	1	24204	C5328CF5478774E2	IDENTICAL
0x4111ECDA	0x9F8BCA10	soundbank	cross	vz.wad	9436	3129	blocks\VZ\music_P000_Q3.block	1	24204	C5328CF5478774E2	IDENTICAL
0x4111ECDA	0xE5273C14	sounddb	cross	shell.wad	347	14	blocks\Shell\music_P000_Q3.block	1	1972	B467F203CB9A3ED5	IDENTICAL
0x4111ECDA	0xE5273C14	sounddb	cross	vz.wad	18434	3129	blocks\VZ\music_P000_Q3.block	1	1972	B467F203CB9A3ED5	IDENTICAL
0x4111ECDA	0xF753F6D0	wavebank	cross	shell.wad	240	14	blocks\Shell\music_P000_Q3.block	1	5308	0CD93518FE3DFF45	IDENTICAL
0x4111ECDA	0xF753F6D0	wavebank	cross	vz.wad	12314	3129	blocks\VZ\music_P000_Q3.block	1	5308	0CD93518FE3DFF45	IDENTICAL
0x41E50B9D	0x42498680	script	cross	shell.wad	267	17	blocks\Shell\resident_P000_Q3.block	1	3945	B26A7F08CB7CD385	IDENTICAL
0x41E50B9D	0x42498680	script	cross	vz.wad	13919	3185	blocks\VZ\resident_P000_Q3.block	1	3945	B26A7F08CB7CD385	IDENTICAL
0x45D10A6F	0xF011157A	texture	cross	shell.wad	217	17	blocks\Shell\resident_P000_Q3.block	1	174895	2CCE0F2CBC3FF756	IDENTICAL
0x45D10A6F	0xF011157A	texture	cross	vz.wad	11285	3185	blocks\VZ\resident_P000_Q3.block	1	174895	2CCE0F2CBC3FF756	IDENTICAL
0x460651BF	0x42498680	script	cross	shell.wad	241	17	blocks\Shell\resident_P000_Q3.block	1	4868	6714780761EEC0E1	IDENTICAL
0x460651BF	0x42498680	script	cross	vz.wad	12376	3185	blocks\VZ\resident_P000_Q3.block	1	4868	6714780761EEC0E1	IDENTICAL
0x471E8BF0	0xF011157A	texture	cross	shell.wad	385	8	blocks\Shell\common_P000_Q3.block	1	722	F3414B21E4A4AD7A	IDENTICAL
0x471E8BF0	0xF011157A	texture	cross	vz.wad	20553	3058	blocks\VZ\common_P000_Q3.block	1	722	F3414B21E4A4AD7A	IDENTICAL
0x4AD459F5	0xF011157A	texture	cross	shell.wad	329	17	blocks\Shell\resident_P000_Q3.block	1	131210	4E68E20E809772CD	IDENTICAL
0x4AD459F5	0xF011157A	texture	cross	vz.wad	17435	3185	blocks\VZ\resident_P000_Q3.block	1	131210	4E68E20E809772CD	IDENTICAL
0x4F569BB1	0xF011157A	texture	cross	shell.wad	36	17	blocks\Shell\resident_P000_Q3.block	1	262281	F5A37BA895992806	IDENTICAL
0x4F569BB1	0xF011157A	texture	cross	vz.wad	2120	3185	blocks\VZ\resident_P000_Q3.block	1	262281	F5A37BA895992806	IDENTICAL
0x5132AE24	0x8F0A54E2	binary	cross	shell.wad	418	17	blocks\Shell\resident_P000_Q3.block	1	54	83E8A97F15B15409	IDENTICAL
0x5132AE24	0x8F0A54E2	binary	cross	vz.wad	21944	3185	blocks\VZ\resident_P000_Q3.block	1	54	83E8A97F15B15409	IDENTICAL
0x5464E339	0x42498680	script	cross	shell.wad	393	17	blocks\Shell\resident_P000_Q3.block	1	3463	B281E00DDB195713	IDENTICAL
0x5464E339	0x42498680	script	cross	vz.wad	20854	3185	blocks\VZ\resident_P000_Q3.block	1	3463	B281E00DDB195713	IDENTICAL
0x5BBD3A0C	0xF011157A	texture	cross	shell.wad	285	17	blocks\Shell\resident_P000_Q3.block	1	131210	1C80FE6CC080CF44	IDENTICAL
0x5BBD3A0C	0xF011157A	texture	cross	vz.wad	14884	3185	blocks\VZ\resident_P000_Q3.block	1	131210	1C80FE6CC080CF44	IDENTICAL
0x5E84EA6D	0xF011157A	texture	cross	shell.wad	466	17	blocks\Shell\resident_P000_Q3.block	1	65664	7E6CDB83DABC4902	IDENTICAL
0x5E84EA6D	0xF011157A	texture	cross	vz.wad	24364	3185	blocks\VZ\resident_P000_Q3.block	1	65664	7E6CDB83DABC4902	IDENTICAL
0x5EA3291E	0x207359C7	animationtable	cross	shell.wad	78	17	blocks\Shell\resident_P000_Q3.block	1	1433	E5226A84431AEF88	IDENTICAL
0x5EA3291E	0x207359C7	animationtable	cross	vz.wad	4158	3185	blocks\VZ\resident_P000_Q3.block	1	1433	E5226A84431AEF88	IDENTICAL
0x60CD8D84	0xF011157A	texture	cross	shell.wad	18	1	blocks\Shell\c31937_P000_Q3.block	1	262283	EBDA312BDE63AC85	IDENTICAL
0x60CD8D84	0xF011157A	texture	cross	vz.wad	1021	2237	blocks\VZ\c32444_P000_Q3.block	1	262283	EBDA312BDE63AC85	IDENTICAL
0x632D431C	0x8F0A54E2	binary	cross	shell.wad	565	5	blocks\Shell\ps3saveassets_P000_Q3.block	1	54	83E8A97F15B15409	IDENTICAL
0x632D431C	0x8F0A54E2	binary	cross	vz.wad	30169	3007	blocks\VZ\ps3saveassets_P000_Q3.block	1	54	83E8A97F15B15409	IDENTICAL
0x642B6D94	0x8F0A54E2	binary	cross	shell.wad	388	4	blocks\Shell\ps3saveassets_it_P000_Q3.block	1	54	83E8A97F15B15409	IDENTICAL
0x642B6D94	0x8F0A54E2	binary	cross	vz.wad	20606	2995	blocks\VZ\ps3saveassets_it_P000_Q3.block	1	54	83E8A97F15B15409	IDENTICAL
0x66046C1F	0x42498680	script	cross	shell.wad	550	17	blocks\Shell\resident_P000_Q3.block	1	1006	7D1266172EB0AD2B	IDENTICAL
0x66046C1F	0x42498680	script	cross	vz.wad	29336	3185	blocks\VZ\resident_P000_Q3.block	1	1006	7D1266172EB0AD2B	IDENTICAL
0x663FC7BA	0xF011157A	texture	cross	shell.wad	544	17	blocks\Shell\resident_P000_Q3.block	1	390	92230538B513225C	IDENTICAL
0x663FC7BA	0xF011157A	texture	cross	vz.wad	28914	3185	blocks\VZ\resident_P000_Q3.block	1	390	92230538B513225C	IDENTICAL
0x69D3C746	0xF011157A	texture	cross	shell.wad	61	18	blocks\Shell\scaleform_shell_P000_Q3.block	1	131212	94AFF216DD862EF5	DIVERGENT
0x69D3C746	0xF011157A	texture	cross	English.wad	45	17	blocks\English\shell_P000_Q3.block	1	131214	4378130D7EB61E45	DIVERGENT
0x6C3B162F	0xF011157A	texture	cross	shell.wad	524	29	blocks\Shell\english_P000_Q3.block	1	131285	10AB2755C81B24E4	IDENTICAL
0x6C3B162F	0xF011157A	texture	cross	vz.wad	28429	3419	blocks\VZ\english_P000_Q3.block	1	131285	10AB2755C81B24E4	IDENTICAL
0x6F604C49	0xF011157A	texture	cross	shell.wad	370	17	blocks\Shell\resident_P000_Q3.block	1	16521	A39CEEB73519F62E	IDENTICAL
0x6F604C49	0xF011157A	texture	cross	vz.wad	19851	3185	blocks\VZ\resident_P000_Q3.block	1	16521	A39CEEB73519F62E	IDENTICAL
0x702F011E	0xF011157A	texture	cross	shell.wad	173	19	blocks\Shell\font_16_buttons_P000_Q3.block	1	8405	9526B658A74A7B91	IDENTICAL
0x702F011E	0xF011157A	texture	cross	vz.wad	9292	3228	blocks\VZ\font_16_buttons_P000_Q3.block	1	8405	9526B658A74A7B91	IDENTICAL
0x7269553D	0xFE0E8320	scaleformgfx	cross	shell.wad	226	9	blocks\Shell\japanese_P000_Q3.block	1	266200	C4BC8F0E0DEE961A	IDENTICAL
0x7269553D	0xFE0E8320	scaleformgfx	cross	vz.wad	11632	3076	blocks\VZ\japanese_P000_Q3.block	1	266200	C4BC8F0E0DEE961A	IDENTICAL
0x73962EB2	0x42498680	script	cross	shell.wad	105	17	blocks\Shell\resident_P000_Q3.block	1	15171	BD699C5A606BB8B5	IDENTICAL
0x73962EB2	0x42498680	script	cross	vz.wad	5747	3185	blocks\VZ\resident_P000_Q3.block	1	15171	BD699C5A606BB8B5	IDENTICAL
0x7457D375	0x42498680	script	cross	shell.wad	340	17	blocks\Shell\resident_P000_Q3.block	1	6839	927AEB3965128301	IDENTICAL
0x7457D375	0x42498680	script	cross	vz.wad	18015	3185	blocks\VZ\resident_P000_Q3.block	1	6839	927AEB3965128301	IDENTICAL
0x74D310BA	0x8F0A54E2	binary	cross	shell.wad	232	17	blocks\Shell\resident_P000_Q3.block	1	54	83E8A97F15B15409	IDENTICAL
0x74D310BA	0x8F0A54E2	binary	cross	vz.wad	11926	3185	blocks\VZ\resident_P000_Q3.block	1	54	83E8A97F15B15409	IDENTICAL
0x7749C276	0x42498680	script	cross	shell.wad	114	17	blocks\Shell\resident_P000_Q3.block	1	3428	5DD185B108B219DF	IDENTICAL
0x7749C276	0x42498680	script	cross	vz.wad	6138	3185	blocks\VZ\resident_P000_Q3.block	1	3428	5DD185B108B219DF	IDENTICAL
0x78747B48	0xF011157A	texture	cross	shell.wad	554	18	blocks\Shell\scaleform_shell_P000_Q3.block	1	262286	117041353EF85700	DIVERGENT
0x78747B48	0xF011157A	texture	cross	English.wad	92	17	blocks\English\shell_P000_Q3.block	1	262288	3DA93980C1D7A43B	DIVERGENT
0x7B51C28A	0x8F0A54E2	binary	cross	shell.wad	518	5	blocks\Shell\ps3saveassets_P000_Q3.block	1	54	83E8A97F15B15409	IDENTICAL
0x7B51C28A	0x8F0A54E2	binary	cross	vz.wad	27999	3007	blocks\VZ\ps3saveassets_P000_Q3.block	1	54	83E8A97F15B15409	IDENTICAL
0x7CD08DD1	0xF011157A	texture	cross	shell.wad	478	17	blocks\Shell\resident_P000_Q3.block	1	87511	96E293C5805B4D3A	IDENTICAL
0x7CD08DD1	0xF011157A	texture	cross	vz.wad	24992	3185	blocks\VZ\resident_P000_Q3.block	1	87511	96E293C5805B4D3A	IDENTICAL
0x7D853E09	0xF011157A	texture	cross	shell.wad	468	17	blocks\Shell\resident_P000_Q3.block	1	262288	DF5BEF3CF59C0CF7	IDENTICAL
0x7D853E09	0xF011157A	texture	cross	vz.wad	24470	3185	blocks\VZ\resident_P000_Q3.block	1	262288	DF5BEF3CF59C0CF7	IDENTICAL
0x8936ED45	0x8F0A54E2	binary	cross	shell.wad	369	23	blocks\Shell\ps3saveassets_fr_P000_Q3.block	1	54	83E8A97F15B15409	IDENTICAL
0x8936ED45	0x8F0A54E2	binary	cross	vz.wad	19798	3243	blocks\VZ\ps3saveassets_fr_P000_Q3.block	1	54	83E8A97F15B15409	IDENTICAL
0x8C0F2FC4	0xFE0E8320	scaleformgfx	cross	shell.wad	402	27	blocks\Shell\_shell_normal_font_P000_Q3.block	1	7249	9EDD8860593FC540	IDENTICAL
0x8C0F2FC4	0xFE0E8320	scaleformgfx	cross	vz.wad	21404	1967	blocks\VZ\c31635_P000_Q3.block	1	7249	9EDD8860593FC540	IDENTICAL
0x8C2F2876	0xF011157A	texture	cross	shell.wad	471	8	blocks\Shell\common_P000_Q3.block	1	469	9CB0D49E510BC5DE	IDENTICAL
0x8C2F2876	0xF011157A	texture	cross	vz.wad	24773	3058	blocks\VZ\common_P000_Q3.block	1	469	9CB0D49E510BC5DE	IDENTICAL
0x8CF694E1	0xF011157A	texture	cross	shell.wad	538	8	blocks\Shell\common_P000_Q3.block	1	65754	367A2A79C3F08A64	IDENTICAL
0x8CF694E1	0xF011157A	texture	cross	vz.wad	28799	3058	blocks\VZ\common_P000_Q3.block	1	65754	367A2A79C3F08A64	IDENTICAL
0x90BDCB0C	0x8F0A54E2	binary	cross	shell.wad	64	5	blocks\Shell\ps3saveassets_P000_Q3.block	1	54	83E8A97F15B15409	IDENTICAL
0x90BDCB0C	0x8F0A54E2	binary	cross	vz.wad	3504	3007	blocks\VZ\ps3saveassets_P000_Q3.block	1	54	83E8A97F15B15409	IDENTICAL
0x976263CD	0xF011157A	texture	cross	shell.wad	417	17	blocks\Shell\resident_P000_Q3.block	1	131216	74AC609021690B40	IDENTICAL
0x976263CD	0xF011157A	texture	cross	vz.wad	21882	3185	blocks\VZ\resident_P000_Q3.block	1	131216	74AC609021690B40	IDENTICAL
0x97F4EBA1	0xF011157A	texture	cross	shell.wad	287	17	blocks\Shell\resident_P000_Q3.block	1	131214	8624D73FCBC7BEE3	IDENTICAL
0x97F4EBA1	0xF011157A	texture	cross	vz.wad	15086	3185	blocks\VZ\resident_P000_Q3.block	1	131214	8624D73FCBC7BEE3	IDENTICAL
0x9B50D72C	0x42498680	script	cross	shell.wad	259	17	blocks\Shell\resident_P000_Q3.block	1	20440	B49485CDDBB0FFEC	IDENTICAL
0x9B50D72C	0x42498680	script	cross	vz.wad	13605	3185	blocks\VZ\resident_P000_Q3.block	1	20440	B49485CDDBB0FFEC	IDENTICAL
0x9BA55054	0x42498680	script	cross	shell.wad	334	17	blocks\Shell\resident_P000_Q3.block	1	38967	02A32CC31FC9ABE6	IDENTICAL
0x9BA55054	0x42498680	script	cross	vz.wad	17705	3185	blocks\VZ\resident_P000_Q3.block	1	38967	02A32CC31FC9ABE6	IDENTICAL
0x9C242D58	0xFE0E8320	scaleformgfx	cross	shell.wad	263	28	blocks\Shell\_shell_font_glyphs_P000_Q3.block	1	14088	2C57A4B9C8A9407C	IDENTICAL
0x9C242D58	0xFE0E8320	scaleformgfx	cross	vz.wad	13754	1966	blocks\VZ\c31634_P000_Q3.block	1	14088	2C57A4B9C8A9407C	IDENTICAL
0x9CAA13BE	0x42498680	script	cross	shell.wad	381	17	blocks\Shell\resident_P000_Q3.block	1	7982	CA2197C29D22B6B3	IDENTICAL
0x9CAA13BE	0x42498680	script	cross	vz.wad	20354	3185	blocks\VZ\resident_P000_Q3.block	1	7982	CA2197C29D22B6B3	IDENTICAL
0x9CD06F1D	0x207359C7	animationtable	cross	shell.wad	439	17	blocks\Shell\resident_P000_Q3.block	1	43241	C02792C9586C0575	IDENTICAL
0x9CD06F1D	0x207359C7	animationtable	cross	vz.wad	22767	3185	blocks\VZ\resident_P000_Q3.block	1	43241	C02792C9586C0575	IDENTICAL
0xA0C0C986	0x42498680	script	cross	shell.wad	374	17	blocks\Shell\resident_P000_Q3.block	1	1931	CEE375A08B63CBD5	IDENTICAL
0xA0C0C986	0x42498680	script	cross	vz.wad	20122	3185	blocks\VZ\resident_P000_Q3.block	1	1931	CEE375A08B63CBD5	IDENTICAL
0xA9A09EA1	0x8F0A54E2	binary	cross	shell.wad	236	23	blocks\Shell\ps3saveassets_fr_P000_Q3.block	1	54	83E8A97F15B15409	IDENTICAL
0xA9A09EA1	0x8F0A54E2	binary	cross	vz.wad	12117	3243	blocks\VZ\ps3saveassets_fr_P000_Q3.block	1	54	83E8A97F15B15409	IDENTICAL
0xAB0DAA23	0xFE0E8320	scaleformgfx	cross	shell.wad	281	17	blocks\Shell\resident_P000_Q3.block	1	27406	FBA10B9499021334	IDENTICAL
0xAB0DAA23	0xFE0E8320	scaleformgfx	cross	vz.wad	14649	3185	blocks\VZ\resident_P000_Q3.block	1	27406	FBA10B9499021334	IDENTICAL
0xB04241E4	0xF011157A	texture	cross	vz.wad	10219	3185	blocks\VZ\resident_P000_Q3.block	1	32901	10ED3BEF85B9BA22	DIVERGENT
0xB04241E4	0xF011157A	texture	cross	English.wad	186	41	blocks\English\guilayouts_P000_Q3.block	1	32904	51C3D5037230612C	DIVERGENT
0xB20C8CBF	0xF011157A	texture	cross	shell.wad	123	8	blocks\Shell\common_P000_Q3.block	1	722	DD0892439B0D0ECF	IDENTICAL
0xB20C8CBF	0xF011157A	texture	cross	vz.wad	6659	3058	blocks\VZ\common_P000_Q3.block	1	722	DD0892439B0D0ECF	IDENTICAL
0xB6A13123	0x39E5E978	stringdb	cross	shell.wad	514	29	blocks\Shell\english_P000_Q3.block	1	1375560	B7CA78559A712E76	IDENTICAL
0xB6A13123	0x39E5E978	stringdb	cross	vz.wad	27558	3419	blocks\VZ\english_P000_Q3.block	1	1375560	B7CA78559A712E76	IDENTICAL
0xBF840377	0xFE0E8320	scaleformgfx	cross	shell.wad	140	17	blocks\Shell\resident_P000_Q3.block	1	5769	FF6AB830F1382B4D	IDENTICAL
0xBF840377	0xFE0E8320	scaleformgfx	cross	vz.wad	7492	3185	blocks\VZ\resident_P000_Q3.block	1	5769	FF6AB830F1382B4D	IDENTICAL
0xBFCA9DC9	0x42498680	script	cross	shell.wad	288	17	blocks\Shell\resident_P000_Q3.block	1	8904	742C17935924A907	IDENTICAL
0xBFCA9DC9	0x42498680	script	cross	vz.wad	15177	3185	blocks\VZ\resident_P000_Q3.block	1	8904	742C17935924A907	IDENTICAL
0xC122545A	0xC122545A	musicstatemap	cross	shell.wad	343	12	blocks\Shell\musicdata_P000_Q3.block	1	48732	DC7FA49244C98565	IDENTICAL
0xC122545A	0xC122545A	musicstatemap	cross	vz.wad	18094	3091	blocks\VZ\musicdata_P000_Q3.block	1	48732	DC7FA49244C98565	IDENTICAL
0xC1720898	0xFE0E8320	scaleformgfx	cross	shell.wad	396	17	blocks\Shell\resident_P000_Q3.block	1	5947	0C9BD3727EB83346	IDENTICAL
0xC1720898	0xFE0E8320	scaleformgfx	cross	vz.wad	21007	3185	blocks\VZ\resident_P000_Q3.block	1	5947	0C9BD3727EB83346	IDENTICAL
0xC6DF0AF7	0xF011157A	texture	cross	shell.wad	542	8	blocks\Shell\common_P000_Q3.block	1	469	DC05AE5DBEB7973E	IDENTICAL
0xC6DF0AF7	0xF011157A	texture	cross	vz.wad	28888	3058	blocks\VZ\common_P000_Q3.block	1	469	DC05AE5DBEB7973E	IDENTICAL
