readable,xbox_va,mangled,flags
"WSDamageDebugRender::PAUDamageReport::?$PblQueue::Peek",0x826e9818,"?Peek@?$PblQueue@PAUDamageReport@WSDamageDebugRender@@$0BAA@@@QAAPAUDamageReport@WSDamageDebugRender@@XZ",tmpl
"WSDamageDebugRender::PAUDamageReport::?$PblQueue::Pop",0x826e9788,"?Pop@?$PblQueue@PAUDamageReport@WSDamageDebugRender@@$0BAA@@@QAAPAUDamageReport@WSDamageDebugRender@@XZ",tmpl
"WSDamageDebugRender::PAUDamageReport::?$PblQueue::Push",0x826e9678,"?Push@?$PblQueue@PAUDamageReport@WSDamageDebugRender@@$0BAA@@@QAAPAUDamageReport@WSDamageDebugRender@@PAU23@@Z",tmpl
"WSDamageDebugRender::PAUDamageReport::?$PblQueue::SetNullValue",0x826e9b18,"?SetNullValue@?$PblQueue@PAUDamageReport@WSDamageDebugRender@@$0BAA@@@QAAXABQAUDamageReport@WSDamageDebugRender@@@Z",tmpl
"WSDamageDebugRender::PAUDamageReport::?$PblQueue::operator cast",0x826e98c0,"??BItor@?$PblQueue@PAUDamageReport@WSDamageDebugRender@@$0BAA@@@QBAPAPAUDamageReport@WSDamageDebugRender@@XZ",tmpl
"WSDamageDebugRender::PAUDamageReport::?$PblQueue::{ctor}",0x826e9888,"??0Itor@?$PblQueue@PAUDamageReport@WSDamageDebugRender@@$0BAA@@@QAA@PAV1@@Z",tmpl
"WSDamageDebugRender::PAUDamageReport::{ctor}",0x826e95b0,"??0?$PblQueue@PAUDamageReport@WSDamageDebugRender@@$0BAA@@@QAA@ABQAUDamageReport@WSDamageDebugRender@@@Z",tmpl
"WSDamageDebugRender::PAUDamageReport::{dtor}",0x826e95e8,"??1?$PblQueue@PAUDamageReport@WSDamageDebugRender@@$0BAA@@@QAA@XZ",tmpl
"WSDamageDebugRender::PrintText",0x826e9298,"?PrintText@WSDamageDebugRender@@QAAXPBDMM_NABUPblColor@@@Z",
"WSDamageDebugRender::RegisterDamage",0x826e8e70,"?RegisterDamage@WSDamageDebugRender@@QAAXPAVWSDamageable@@HABVPblVector3@@PBVhkShape@@@Z",
"WSDamageDebugRender::Render",0x826e70e0,"?Render@WSDamageDebugRender@@QAAXXZ",
"WSDamageDebugRender::RenderDamageReportList",0x826e8fe8,"?RenderDamageReportList@WSDamageDebugRender@@QAAXXZ",
"WSDamageDebugRender::RenderGroup",0x826e76d0,"?RenderGroup@WSDamageDebugRender@@QAAXPAVWSDamageableGroup@@AAHH@Z",
"WSDamageDebugRender::RenderPart",0x826e79d0,"?RenderPart@WSDamageDebugRender@@QAAXPAVWSDamageablePart@@AAHH@Z",
"WSDamageDebugRender::RenderTitle",0x826e7550,"?RenderTitle@WSDamageDebugRender@@QAAXXZ",
"WSDamageDebugRender::SelectObject",0x826e72a0,"?SelectObject@WSDamageDebugRender@@QAAXXZ",
"WSDamageDebugRender::SetupDebug",0x826e7080,"?SetupDebug@WSDamageDebugRender@@SAXXZ",
"WSDamageDebugRender::{ctor}",0x826e9410,"??0DamageReport@WSDamageDebugRender@@QAA@XZ",
"WSDamageDesc::AllDamage",0x82674880,"?AllDamage@WSDamageDesc@@QBA_NXZ",
"WSDamageDesc::BulletDamage",0x82503ce0,"?BulletDamage@WSDamageDesc@@QBA_NXZ",
"WSDamageDesc::CharacterDamage",0x826748c0,"?CharacterDamage@WSDamageDesc@@QBA_NXZ",
"WSDamageDesc::CollisionDamage",0x826748a0,"?CollisionDamage@WSDamageDesc@@QBA_NXZ",
"WSDamageDesc::ExplosionDamage",0x826748e0,"?ExplosionDamage@WSDamageDesc@@QBA_NXZ",
"WSDamageDesc::FireDamage",0x82674900,"?FireDamage@WSDamageDesc@@QBA_NXZ",
"WSDamageDesc::PAXPAXW4TType::NotifyListeners",0x82506010,"??$NotifyListeners@PAXPAXW4TType@WSDamageDesc@@M@WSAIController@@QAAXPBDPAX1W4TType@WSDamageDesc@@M@Z",tmpl
"WSDamageDesc::PAXPAXW4TType::RunCallbackScript",0x825068b0,"??$RunCallbackScript@PAXPAXW4TType@WSDamageDesc@@M@WSAIController@@QAAXPAVCallbackData@@PAX1W4TType@WSDamageDesc@@M@Z",tmpl
"WSDamageDesc::PAXPAXW4TType::RunScript",0x82506e80,"??$RunScript@PAXPAXW4TType@WSDamageDesc@@M@LuaManager@@QAA_NPAVCallbackData@@PAX1W4TType@WSDamageDesc@@M@Z",tmpl
"WSDamageDesc::PAXPAX_NW4TType::NotifyListeners",0x82506260,"??$NotifyListeners@PAXPAX_NW4TType@WSDamageDesc@@@WSAIController@@QAAXPBDPAX1_NW4TType@WSDamageDesc@@@Z",tmpl
"WSDamageDesc::PAXPAX_NW4TType::RunCallbackScript",0x82506c48,"??$RunCallbackScript@PAXPAX_NW4TType@WSDamageDesc@@@WSAIController@@QAAXPAVCallbackData@@PAX1_NW4TType@WSDamageDesc@@@Z",tmpl
"WSDamageDesc::PAXPAX_NW4TType::RunScript",0x82507220,"??$RunScript@PAXPAX_NW4TType@WSDamageDesc@@@LuaManager@@QAA_NPAVCallbackData@@PAX1_NW4TType@WSDamageDesc@@@Z",tmpl
"WSDamageDesc::PAXW4TType::LuaCallInTablePassSelf",0x82506578,"??$LuaCallInTablePassSelf@PAXW4TType@WSDamageDesc@@M@LuaMachine@@QAA_NPBD0HPAXW4TType@WSDamageDesc@@M@Z",tmpl
"WSDamageDesc::PAXW4TType::NotifyStaticListenersPassSelf",0x825067b0,"??$NotifyStaticListenersPassSelf@PAXW4TType@WSDamageDesc@@M@LuaManager@@QAAXPBD0HPAXW4TType@WSDamageDesc@@M@Z",tmpl
"WSDamageDesc::PAXW4TType::RunEventScript",0x82505690,"??$RunEventScript@PAXW4TType@WSDamageDesc@@M@WSAIController@@QAAXPBDPAXW4TType@WSDamageDesc@@M@Z",tmpl
"WSDamageDesc::PAXW4TType::RunScriptPassSelf",0x82505ed8,"??$RunScriptPassSelf@PAXW4TType@WSDamageDesc@@M@LuaManager@@QAA_NW4TMachine@0@PBD1HPAXW4TType@WSDamageDesc@@M@Z",tmpl
"WSDamageDesc::PAXW4TType::RunScriptPassSelf",0x82506cb0,"??$RunScriptPassSelf@PAXW4TType@WSDamageDesc@@M@LuaManager@@QAA_NPAVCallbackData@@HPAXW4TType@WSDamageDesc@@M@Z",tmpl
"WSDamageDesc::PAX_NW4TType::LuaCallInTablePassSelf",0x82506918,"??$LuaCallInTablePassSelf@PAX_NW4TType@WSDamageDesc@@@LuaMachine@@QAA_NPBD0HPAX_NW4TType@WSDamageDesc@@@Z",tmpl
"WSDamageDesc::PAX_NW4TType::NotifyStaticListenersPassSelf",0x82506b50,"??$NotifyStaticListenersPassSelf@PAX_NW4TType@WSDamageDesc@@@LuaManager@@QAAXPBD0HPAX_NW4TType@WSDamageDesc@@@Z",tmpl
"WSDamageDesc::PAX_NW4TType::RunEventScript",0x825057b0,"??$RunEventScript@PAX_NW4TType@WSDamageDesc@@@WSAIController@@QAAXPBDPAX_NW4TType@WSDamageDesc@@@Z",tmpl
"WSDamageDesc::PAX_NW4TType::RunScriptPassSelf",0x82506128,"??$RunScriptPassSelf@PAX_NW4TType@WSDamageDesc@@@LuaManager@@QAA_NW4TMachine@0@PBD1HPAX_NW4TType@WSDamageDesc@@@Z",tmpl
"WSDamageDesc::PAX_NW4TType::RunScriptPassSelf",0x82507050,"??$RunScriptPassSelf@PAX_NW4TType@WSDamageDesc@@@LuaManager@@QAA_NPAVCallbackData@@HPAX_NW4TType@WSDamageDesc@@@Z",tmpl
"WSDamageEvent::DebugDump",0x8276b048,"?DebugDump@WSDamageEvent@@UAAXAAV?$PblStringT@$0CAA@@@@Z",
"WSDamageEvent::Update",0x8276ad78,"?Update@WSDamageEvent@@UAA_NMAAH@Z",
"WSDamageRegion::ActivateEntity",0x82459518,"?ActivateEntity@WSDamageRegion@@MAAXXZ",
"WSDamageRegion::AttachableGetMatrix",0x82457e48,"?AttachableGetMatrix@WSDamageRegion@@UAAXAAVPblMatrix4x4@@VPblCRC@@@Z",
"WSDamageRegion::DamageHuman",0x824581e8,"?DamageHuman@WSDamageRegion@@IAA_NPAVWSHuman@@M@Z",
"WSDamageRegion::DeactivateEntity",0x82459520,"?DeactivateEntity@WSDamageRegion@@MAAXXZ",
"WSDamageRegion::DebugRender",0x82459508,"?DebugRender@WSDamageRegion@@MAAXXZ",
"WSDamageRegion::DeleteSynched",0x82459510,"?DeleteSynched@WSDamageRegion@@MAAXXZ",
"WSDamageRegion::DestroyEmitter",0x824586b0,"?DestroyEmitter@WSDamageRegion@@IAAXVPblCRC@@@Z",
"WSDamageRegion::Init",0x824579a8,"?Init@WSDamageRegion@@QAAXPAVWSDamageRegionBlueprint@@AAVWSEntityDesc@@@Z",
"WSDamageRegion::InitSynched",0x82458820,"?InitSynched@WSDamageRegion@@MAAXXZ",
"WSDamageRegion::InitUNSynched",0x82459528,"?InitUNSynched@WSDamageRegion@@MAAXXZ",
"WSDamageRegion::RemoveFromStreamblock",0x82457eb0,"?RemoveFromStreamblock@WSDamageRegion@@IAAXXZ",
"WSDamageRegion::ShouldSelfTerminate",0x82458078,"?ShouldSelfTerminate@WSDamageRegion@@IAA_NXZ",
"WSDamageRegion::StartHumanFire",0x82458890,"?StartHumanFire@WSDamageRegion@@CAXPAVWSHuman@@@Z",
"WSDamageRegion::StopHumanFire",0x82458bc8,"?StopHumanFire@WSDamageRegion@@CAXPAVWSHuman@@@Z",
"WSDamageRegion::Update",0x82457ca8,"?Update@WSDamageRegion@@UAAXM@Z",
"WSDamageRegionBlueprint",0x82459700,"??_DWSDamageRegionBlueprint@@QAAXXZ",
"WSDamageRegionBlueprint::CreateEmitter",0x82459388,"?CreateEmitter@WSDamageRegionBlueprint@@QAAXPAVWSParticleAttatchObject@@ABVPblMatrix4x4@@@Z",
"WSDamageRegionBlueprint::CreateHumanEmitters",0x82459270,"?CreateHumanEmitters@WSDamageRegionBlueprint@@QAAXPAVWSHuman@@@Z",
"WSDamageRegionBlueprint::GetDamageRegionBlueprint",0x824597a0,"?GetDamageRegionBlueprint@WSDamageRegionBlueprint@@$4PPPPPPPM@A@AAPAV1@XZ",
"WSDamageRegionBlueprint::GetDamageRegionBlueprint",0x824597b0,"?GetDamageRegionBlueprint@WSDamageRegionBlueprint@@UAAPAV1@XZ",
"WSDamageRegionBlueprint::GetDamageRegionBlueprint",0x8245b830,"?GetDamageRegionBlueprint@WSDamageRegionBlueprint@@$4PPPPPPPM@7AAPAV1@XZ",
"WSDamageRegionBlueprint::Init",0x82459048,"?Init@WSDamageRegionBlueprint@@UAAXPBD@Z",
"WSDamageRegionBlueprint::Init",0x82459740,"?Init@WSDamageRegionBlueprint@@$4PPPPPPPM@A@AAXPBD@Z",
"WSDamageRegionBlueprint::Init",0x8245b7e0,"?Init@WSDamageRegionBlueprint@@$4PPPPPPPM@7AAXPBD@Z",
"WSDamageRegionBlueprint::SetProperty",0x824590e0,"?SetProperty@WSDamageRegionBlueprint@@UAA_NVPblCRC@@AAVPblPropertySet@@@Z",
"WSDamageRegionBlueprint::SetProperty",0x82459770,"?SetProperty@WSDamageRegionBlueprint@@$4PPPPPPPM@A@AA_NVPblCRC@@AAVPblPropertySet@@@Z",
"WSDamageSphere",0x82459da0,"??2WSDamageSphere@@SAPAXIPAX@Z",
"WSDamageSphere",0x82459e40,"??3WSDamageSphere@@SAXPAX@Z",
"WSDamageSphere::CollectAndHurtVictims",0x82459f70,"?CollectAndHurtVictims@WSDamageSphere@@EAAXM@Z",
"WSDamageSphere::DebugRender",0x8245a1d8,"?DebugRender@WSDamageSphere@@EAAXXZ",
"WSDamageSphere::Init",0x82459e70,"?Init@WSDamageSphere@@QAAXPAVWSDamageSphereBlueprint@@AAVWSEntityDesc@@@Z",
"WSDamageSphere::Update",0x82459eb8,"?Update@WSDamageSphere@@UAAXM@Z",
"WSDamageSphereBlueprint",0x8245a6a0,"??_DWSDamageSphereBlueprint@@QAAXXZ",
"WSDamageSphereBlueprint::Build",0x8245a5d0,"?Build@WSDamageSphereBlueprint@@EAAPAVWSEntity@@AAVWSEntityDesc@@@Z",
"WSDamageSphereBlueprint::BuildDamageSphere",0x8245a578,"?BuildDamageSphere@WSDamageSphereBlueprint@@EAAPAVWSDamageSphere@@AAVWSEntityDesc@@@Z",
"WSDamageSphereBlueprint::E?ms_DamageSphereAllocator",0x83348be8,"??__E?ms_DamageSphereAllocator@WSDamageSphereBlueprint@@0V?$WSLocalAllocator@VWSDamageSphere@@$0IA@@@A@@YAXXZ",
"WSDamageSphereBlueprint::F?ms_DamageSphereAllocator",0x8338dd40,"??__F?ms_DamageSphereAllocator@WSDamageSphereBlueprint@@0V?$WSLocalAllocator@VWSDamageSphere@@$0IA@@@A@@YAXXZ",
"WSDamageSphereBlueprint::GetDamageSphereBlueprint",0x8245b860,"?GetDamageSphereBlueprint@WSDamageSphereBlueprint@@$4PPPPPPPM@A@AAPAV1@XZ",
"WSDamageSphereBlueprint::GetDamageSphereBlueprint",0x8245b870,"?GetDamageSphereBlueprint@WSDamageSphereBlueprint@@UAAPAV1@XZ",
"WSDamageSphereBlueprint::IsReadyToBuild",0x8245a538,"?IsReadyToBuild@WSDamageSphereBlueprint@@EAA_NXZ",
"WSDamageSphereBlueprint::IsReadyToBuild",0x8245b800,"?IsReadyToBuild@WSDamageSphereBlueprint@@$0PPPPPPPM@A@AA_NXZ",
"WSDamageSphereBlueprint::SetProperty",0x8245a468,"?SetProperty@WSDamageSphereBlueprint@@UAA_NVPblCRC@@AAVPblPropertySet@@@Z",
"WSDamageSphereBlueprint::SetProperty",0x8245b820,"?SetProperty@WSDamageSphereBlueprint@@$4PPPPPPPM@A@AA_NVPblCRC@@AAVPblPropertySet@@@Z",
"WSDamageable::AddDamagableChild",0x82672340,"?AddDamagableChild@WSDamageable@@IAAXPAV1@@Z",
"WSDamageable::AncestorDamaged",0x826724c0,"?AncestorDamaged@WSDamageable@@MAAXPAV1@@Z",
"WSDamageable::AncestorDied",0x82672500,"?AncestorDied@WSDamageable@@MAAXPAV1@@Z",
"WSDamageable::ApplyDamage",0x82671ef0,"?ApplyDamage@WSDamageable@@UAAXABVWSDamageDesc@@@Z",
"WSDamageable::Die",0x826720a0,"?Die@WSDamageable@@UAAXXZ",
"WSDamageable::FindDamageable",0x825028c8,"?FindDamageable@WSDamageable@@UAAPAV1@PAVWSSkeletonBone@@@Z",
"WSDamageable::GetDamageable",0x82433818,"?GetDamageable@WSDamageable@@$4PPPPPPPM@BFI@AAPAV1@XZ",
"WSDamageable::GetDamageable",0x82433828,"?GetDamageable@WSDamageable@@UAAPAV1@XZ",
"WSDamageable::GetDamageable",0x82433bb8,"?GetDamageable@WSDamageable@@$4PPPPPPPM@CPI@AAPAV1@XZ",
"WSDamageable::GetDamageable",0x824a2db0,"?GetDamageable@WSDamageable@@$4PPPPPPPM@BHE@AAPAV1@XZ",
"WSDamageable::GetDamageable",0x824a3258,"?GetDamageable@WSDamageable@@$4PPPPPPPM@BGM@AAPAV1@XZ",
"WSDamageable::GetDamageable",0x82507430,"?GetDamageable@WSDamageable@@$4PPPPPPPM@JLA@AAPAV1@XZ",
"WSDamageable::GetDamageable",0x825c56f8,"?GetDamageable@WSDamageable@@$4PPPPPPPM@BDBA@AAPAV1@XZ",
"WSDamageable::GetDamageable",0x825c73d8,"?GetDamageable@WSDamageable@@$4PPPPPPPM@CCE@AAPAV1@XZ",
"WSDamageable::GetDamageable",0x825dc538,"?GetDamageable@WSDamageable@@$4PPPPPPPM@CBE@AAPAV1@XZ",
"WSDamageable::GetDamageable",0x825e6a90,"?GetDamageable@WSDamageable@@$4PPPPPPPM@HM@AAPAV1@XZ",
"WSDamageable::GetDamageable",0x8262d7b8,"?GetDamageable@WSDamageable@@$4PPPPPPPM@NEE@AAPAV1@XZ",
"WSDamageable::GetDamageable",0x8262f830,"?GetDamageable@WSDamageable@@$4PPPPPPPM@NHE@AAPAV1@XZ",
"WSDamageable::GetDamageable",0x82630b18,"?GetDamageable@WSDamageable@@$4PPPPPPPM@BLM@AAPAV1@XZ",
"WSDamageable::GetDamageable",0x82632f80,"?GetDamageable@WSDamageable@@$4PPPPPPPM@FJM@AAPAV1@XZ",
"WSDamageable::GetDamageable",0x82635450,"?GetDamageable@WSDamageable@@$4PPPPPPPM@FOM@AAPAV1@XZ",
"WSDamageable::GetDamageable",0x82676be8,"?GetDamageable@WSDamageable@@$4PPPPPPPM@A@AAPAV1@XZ",
"WSDamageable::GetDamageable",0x82676bf8,"?GetDamageable@WSDamageable@@$4PPPPPPPM@CA@AAPAV1@XZ",
"WSDamageable::GetDamageable",0x82676c98,"?GetDamageable@WSDamageable@@$4PPPPPPPM@HE@AAPAV1@XZ",
"WSDamageable::GetDamageable",0x826a8ea0,"?GetDamageable@WSDamageable@@$4PPPPPPPM@IM@AAPAV1@XZ",
"WSDamageable::GetDamageable",0x826d83e0,"?GetDamageable@WSDamageable@@$4PPPPPPPM@KE@AAPAV1@XZ",
"WSDamageable::GetDamageable",0x828a1488,"?GetDamageable@WSDamageable@@$4PPPPPPPM@BJA@AAPAV1@XZ",
"WSDamageable::GetDamageableBlueprint",0x824595d0,"?GetDamageableBlueprint@WSDamageable@@QAAPAVWSDamageableBlueprint@@XZ",
"WSDamageable::GetDamageablePart",0x82432be0,"?GetDamageablePart@WSDamageable@@UAAPAVWSDamageablePart@@XZ",
"WSDamageable::GetHealth",0x82432c20,"?GetHealth@WSDamageable@@UAAMXZ",
"WSDamageable::IsDamageableAlive",0x82432bf0,"?IsDamageableAlive@WSDamageable@@UAA_NXZ",
"WSDamageable::RemoveDamagableChild",0x82672388,"?RemoveDamagableChild@WSDamageable@@IAAXPAV1@@Z",
"WSDamageable::SafeCastTo",0x82433a68,"?SafeCastTo@WSDamageable@@$4PPPPPPPM@BFI@AA_NAAPAV1@@Z",
"WSDamageable::SafeCastTo",0x82433a78,"?SafeCastTo@WSDamageable@@UAA_NAAPAV1@@Z",
"WSDamageable::SafeCastTo",0x82433d50,"?SafeCastTo@WSDamageable@@$4PPPPPPPM@CPI@AA_NAAPAV1@@Z",
"WSDamageable::SafeCastTo",0x824a2e10,"?SafeCastTo@WSDamageable@@$4PPPPPPPM@BGM@AA_NAAPAV1@@Z",
"WSDamageable::SafeCastTo",0x824a2f80,"?SafeCastTo@WSDamageable@@$4PPPPPPPM@BHE@AA_NAAPAV1@@Z",
"WSDamageable::SafeCastTo",0x825076f0,"?SafeCastTo@WSDamageable@@$4PPPPPPPM@JLA@AA_NAAPAV1@@Z",
"WSDamageable::SafeCastTo",0x825c5818,"?SafeCastTo@WSDamageable@@$4PPPPPPPM@BDBA@AA_NAAPAV1@@Z",
"WSDamageable::SafeCastTo",0x825c7598,"?SafeCastTo@WSDamageable@@$4PPPPPPPM@CCE@AA_NAAPAV1@@Z",
"WSDamageable::SafeCastTo",0x825dc318,"?SafeCastTo@WSDamageable@@$4PPPPPPPM@CBE@AA_NAAPAV1@@Z",
"WSDamageable::SafeCastTo",0x825e6ba0,"?SafeCastTo@WSDamageable@@$4PPPPPPPM@HM@AA_NAAPAV1@@Z",
"WSDamageable::SafeCastTo",0x8262d998,"?SafeCastTo@WSDamageable@@$4PPPPPPPM@NEE@AA_NAAPAV1@@Z",
"WSDamageable::SafeCastTo",0x8262f3f8,"?SafeCastTo@WSDamageable@@$4PPPPPPPM@NHE@AA_NAAPAV1@@Z",
"WSDamageable::SafeCastTo",0x82630b90,"?SafeCastTo@WSDamageable@@$4PPPPPPPM@BLM@AA_NAAPAV1@@Z",
"WSDamageable::SafeCastTo",0x826330d8,"?SafeCastTo@WSDamageable@@$4PPPPPPPM@FJM@AA_NAAPAV1@@Z",
"WSDamageable::SafeCastTo",0x826355a0,"?SafeCastTo@WSDamageable@@$4PPPPPPPM@FOM@AA_NAAPAV1@@Z",
"WSDamageable::SafeCastTo",0x82676bd8,"?SafeCastTo@WSDamageable@@$4PPPPPPPM@HE@AA_NAAPAV1@@Z",
"WSDamageable::SafeCastTo",0x82676c38,"?SafeCastTo@WSDamageable@@$4PPPPPPPM@A@AA_NAAPAV1@@Z",
"WSDamageable::SafeCastTo",0x82676c48,"?SafeCastTo@WSDamageable@@$4PPPPPPPM@CA@AA_NAAPAV1@@Z",
"WSDamageable::SafeCastTo",0x826a8f98,"?SafeCastTo@WSDamageable@@$4PPPPPPPM@IM@AA_NAAPAV1@@Z",
"WSDamageable::SafeCastTo",0x826d8160,"?SafeCastTo@WSDamageable@@$4PPPPPPPM@KE@AA_NAAPAV1@@Z",
"WSDamageable::SafeCastTo",0x828a15e0,"?SafeCastTo@WSDamageable@@$4PPPPPPPM@BJA@AA_NAAPAV1@@Z",
"WSDamageable::SetDamagableParent",0x826749f0,"?SetDamagableParent@WSDamageable@@IAAXPAV1@@Z",
"WSDamageable::SetDamageableProperty",0x82671e80,"?SetDamageableProperty@WSDamageable@@UAA_NVPblCRC@@AAVPblPropertySet@@@Z",
"WSDamageable::SetHealth",0x82432c08,"?SetHealth@WSDamageable@@UAAXM@Z",
"WSDamageable::SetInvincibleToAI",0x827b5c88,"?SetInvincibleToAI@WSDamageable@@QAAX_N@Z",
"WSDamageable::SetupDamagableNode",0x82672108,"?SetupDamagableNode@WSDamageable@@IAA_NXZ",
"WSDamageable::SubshapeMovedCallback",0x825028b0,"?SubshapeMovedCallback@WSDamageable@@UAAXPAVWSShapeController@@HABVPblVector3@@1@Z",
"WSDamageable::TellChildrenAncestorDamaged",0x826723d0,"?TellChildrenAncestorDamaged@WSDamageable@@MAAXPAV1@@Z",
"WSDamageable::TellChildrenAncestorDied",0x82672448,"?TellChildrenAncestorDied@WSDamageable@@MAAXPAV1@@Z",
"WSDamageableBlueprint::AcceptsDamageOfThisType",0x826706e0,"?AcceptsDamageOfThisType@WSDamageableBlueprint@@QAA_NPBVWSDamageDesc@@@Z",
"WSDamageableBlueprint::GetDamageableBlueprint",0x82433968,"?GetDamageableBlueprint@WSDamageableBlueprint@@$R4BMM@7PPPPPPPM@EE@AAPAV1@XZ",
"WSDamageableBlueprint::GetDamageableBlueprint",0x82433988,"?GetDamageableBlueprint@WSDamageableBlueprint@@UAAPAV1@XZ",
"WSDamageableBlueprint::GetDamageableBlueprint",0x824a3238,"?GetDamageableBlueprint@WSDamageableBlueprint@@$R4BCI@7PPPPPPPM@EE@AAPAV1@XZ",
"WSDamageableBlueprint::GetDamageableBlueprint",0x825074b8,"?GetDamageableBlueprint@WSDamageableBlueprint@@$4PPPPPPPM@BGA@AAPAV1@XZ",
"WSDamageableBlueprint::GetDamageableBlueprint",0x825c56c8,"?GetDamageableBlueprint@WSDamageableBlueprint@@$4PPPPPPPM@BKI@AAPAV1@XZ",
"WSDamageableBlueprint::GetDamageableBlueprint",0x825c7678,"?GetDamageableBlueprint@WSDamageableBlueprint@@$R4FAE@7PPPPPPPM@EE@AAPAV1@XZ",
"WSDamageableBlueprint::GetDamageableBlueprint",0x825e6b30,"?GetDamageableBlueprint@WSDamageableBlueprint@@$R4HE@7PPPPPPPM@EE@AAPAV1@XZ",
"WSDamageableBlueprint::GetDamageableBlueprint",0x8262d898,"?GetDamageableBlueprint@WSDamageableBlueprint@@$R4JDM@7PPPPPPPM@EE@AAPAV1@XZ",
"WSDamageableBlueprint::GetDamageableBlueprint",0x8262f538,"?GetDamageableBlueprint@WSDamageableBlueprint@@$R4JFM@7PPPPPPPM@EE@AAPAV1@XZ",
"WSDamageableBlueprint::GetDamageableBlueprint",0x82633088,"?GetDamageableBlueprint@WSDamageableBlueprint@@$R4COI@7PPPPPPPM@EE@AAPAV1@XZ",
"WSDamageableBlueprint::GetDamageableBlueprint",0x82635238,"?GetDamageableBlueprint@WSDamageableBlueprint@@$R4ECM@7PPPPPPPM@EE@AAPAV1@XZ",
"WSDamageableBlueprint::GetDamageableBlueprint",0x82676c58,"?GetDamageableBlueprint@WSDamageableBlueprint@@$R4CA@7PPPPPPPM@EE@AAPAV1@XZ",
"WSDamageableBlueprint::GetDamageableBlueprint",0x82676c78,"?GetDamageableBlueprint@WSDamageableBlueprint@@$R4CE@7PPPPPPPM@EE@AAPAV1@XZ",
"WSDamageableBlueprint::GetDamageableBlueprint",0x82676ca8,"?GetDamageableBlueprint@WSDamageableBlueprint@@$4PPPPPPPM@A@AAPAV1@XZ",
"WSDamageableBlueprint::GetDamageableBlueprint",0x826d8380,"?GetDamageableBlueprint@WSDamageableBlueprint@@$R4DBM@7PPPPPPPM@EE@AAPAV1@XZ",
"WSDamageableBlueprint::SetDamageableProperty",0x82670f88,"?SetDamageableProperty@WSDamageableBlueprint@@UAA_NVPblCRC@@AAVPblPropertySet@@@Z",
"WSDamageableGroup::ActivateBone",0x82674770,"?ActivateBone@WSDamageableGroup@@AAAXPAVOdinMesh@@PAVPclBone@@_N@Z",
