model,group,range_count,slots,bones,verts,tris,state_mask
pmc_hum_mattias,9,4,49,48,1948,2241,0x02
pmc_hum_mattias,10,1,13,9,884,1239,0x02
pmc_hum_mattias,11,1,33,26,823,1411,0x02
pmc_hum_mattias,12,1,6,2,72,60,0x02
pmc_hum_mattias,13,1,6,2,214,188,0x02
pmc_hum_mattias,14,1,30,4,1599,1251,0x02
pmc_hum_mattias,15,1,13,9,496,607,0x04
pmc_hum_mattias,16,3,48,26,1034,1097,0x04
pmc_hum_mattias,17,1,7,3,437,699,0x04
pmc_hum_mattias,18,1,1,1,677,465,0x04
pmc_hum_mattias,19,1,7,3,177,275,0x08
pmc_hum_mattias,20,2,43,10,936,392,0x08
pmc_hum_mattias,21,1,13,9,240,236,0x08
ch_hum_starter02,0,1,1,1,278,396,0x0F
ch_hum_starter02,1,2,28,22,1365,2447,0x0F
ch_hum_starter02,2,1,26,14,83,108,0x0F
ch_hum_starter02,3,1,11,9,1224,1994,0x0F
ch_hum_starter02,4,4,45,44,1454,4512,0x0F
ch_hum_starter02,5,1,1,1,959,1029,0x0F
ch_hum_starter02,6,1,1,1,900,971,0x0F
ch_hum_starter02,7,1,2,2,169,272,0x0F
0x0D0B8CF5,0,1,1,1,43,38,0x08
0x0D0B8CF5,1,1,1,1,41,34,0x08
0x0D0B8CF5,2,1,1,1,77,76,0x08
0x0D0B8CF5,3,1,1,1,54,46,0x08
0x0D0B8CF5,4,1,1,1,59,72,0x08
0x0D0B8CF5,5,3,48,42,250,239,0x08
0x0D0B8CF5,6,3,48,42,257,238,0x08
0x0D0B8CF5,7,3,48,42,227,210,0x08
0x0D0B8CF5,8,3,48,42,245,235,0x08
0x0D0B8CF5,9,1,9,9,162,149,0x08
0x0D0B8CF5,10,1,9,9,193,173,0x08
0x0D0B8CF5,11,1,9,9,196,199,0x08
0x0D0B8CF5,12,1,9,9,207,182,0x08
0x0D0B8CF5,13,1,4,3,86,136,0x08
0x0D0B8CF5,14,1,4,3,64,102,0x08
0x0D0B8CF5,15,1,4,3,71,118,0x08
0x0D0B8CF5,16,1,4,3,121,196,0x08
0x0D0B8CF5,17,1,1,1,32,26,0x08
global_env_palmtreebend01,10,1,4,2,25,22,0x04
global_env_palmtreebend01,11,1,2,2,181,202,0x04
global_env_palmtreebend01,12,1,1,1,36,36,0x04
global_env_palmtreebend01,13,1,1,1,36,38,0x04
global_env_palmtreebend01,14,1,1,1,30,30,0x04
global_env_palmtreebend01,15,1,1,1,30,30,0x04
global_env_palmtreebend01,16,1,1,1,36,36,0x04
global_env_palmtreebend01,17,1,3,2,28,26,0x04
global_env_palmtreebend01,18,1,1,1,40,42,0x04
global_env_palmtreebend01,19,1,1,1,46,48,0x04
global_env_palmtreebend01,20,1,1,1,36,36,0x04
global_env_palmtreebend01,21,1,1,1,31,28,0x04
global_env_palmtreebend01,22,1,1,1,50,56,0x04
global_env_palmtreebend01,23,1,1,1,48,52,0x04
global_env_palmtreebend01,24,1,1,1,28,28,0x04
global_env_palmtreebend01,25,1,1,1,34,34,0x04
global_env_palmtreebend01,26,1,1,1,38,40,0x04
global_env_palmtreebend01,27,1,1,1,34,36,0x04
global_env_palmtreebend01,28,1,1,1,46,46,0x04
global_env_palmtreebend01,29,1,1,1,31,30,0x04
global_env_palmtreebend01,30,1,1,1,32,32,0x04
global_env_palmtreebend01,31,1,1,1,34,36,0x04
global_env_palmtreebend01,32,1,2,2,28,24,0x04
global_env_palmtreebend01,33,1,5,3,5,4,0x07
pmc_hum_mechanic,0,4,23,22,2225,4036,0x0F
pmc_hum_mechanic,1,1,11,9,2106,3585,0x0F
pmc_hum_mechanic,2,4,47,46,2863,4871,0x0F
pmc_hum_mechanic,3,1,1,1,3579,4156,0x0F
pmc_hum_mechanic,4,1,8,3,744,1254,0x0F
pmc_hum_mechanic,5,2,42,8,893,1228,0x0F
pmc_hum_mechanic,6,2,42,9,1768,1873,0x0F
pmc_hum_mechanic,7,1,13,3,156,184,0x0F
pmc_hum_mechanic,8,1,13,3,1033,699,0x0F
pmc_hum_mechanic,9,1,4,2,169,272,0x0F
global_flag_smallpr,2,1,3,3,94,132,0x01
global_flag_smallpr,3,1,3,3,94,132,0x06
0x1066F684,0,2,28,22,108,180,0x08
0x1066F684,1,2,28,22,83,140,0x08
0x1066F684,2,2,28,22,112,180,0x08
0x1066F684,3,2,28,22,89,142,0x08
0x1066F684,4,1,11,9,142,172,0x08
0x1066F684,5,4,45,43,201,204,0x08
al_hum_workerb,0,1,12,10,177,118,0x08
al_hum_workerb,1,2,28,22,114,174,0x08
al_hum_workerb,2,5,46,45,189,174,0x08
al_hum_workerb,3,1,22,7,283,458,0x08
civ_hum_beachfemale_c,0,1,11,9,151,155,0x08
civ_hum_beachfemale_c,1,5,43,41,238,243,0x08
civ_hum_beachfemale_c,2,1,6,3,97,68,0x08
civ_hum_beachfemale_c,3,1,6,3,73,120,0x08
civ_hum_journalist_b,0,1,61,4,181,120,0x08
civ_hum_journalist_b,1,1,14,4,67,54,0x08
civ_hum_journalist_b,2,2,28,5,101,160,0x08
civ_hum_journalist_b,3,1,12,10,195,168,0x08
civ_hum_journalist_b,4,5,46,44,432,371,0x08
global_env_treeplaza03,26,1,4,4,462,390,0x04
global_env_treeplaza03,27,1,4,4,137,63,0x04
global_env_treeplaza03,29,1,2,2,56,28,0x07
global_env_treeplaza03,30,1,4,4,46,22,0x07
global_env_treeplaza03,31,1,2,2,48,24,0x07
global_env_treeplaza03,32,1,4,2,52,24,0x07
global_env_treeplaza03,33,1,3,2,52,26,0x07
global_env_treeplaza03,34,1,3,2,58,24,0x07
global_env_treeplaza03,35,1,4,3,32,16,0x07
global_env_treeplaza03,36,1,4,3,50,24,0x07
global_env_treeplaza03,37,1,2,2,34,16,0x07
global_env_treeplaza03,38,1,2,2,48,20,0x07
global_env_treeplaza03,39,1,4,3,46,20,0x07
global_env_treeplaza03,40,1,4,2,50,24,0x07
global_env_treeplaza03,41,1,2,2,50,24,0x07
global_env_treeplaza03,42,1,3,2,42,20,0x07
global_env_treeplaza03,43,1,3,2,38,18,0x07
pmc_hum_jen,0,1,1,1,45,42,0x01
pmc_hum_jen,1,1,16,10,2458,3846,0x01
pmc_hum_jen,2,4,42,40,1562,2419,0x01
pmc_hum_jen,3,1,2,2,1031,1348,0x01
pmc_hum_jen,4,1,29,21,3974,11960,0x01
pmc_hum_jen,5,3,21,8,469,668,0x01
pmc_hum_jen,6,1,12,4,768,685,0x01
pmc_hum_jen,7,2,50,17,1907,6062,0x01
pmc_hum_jen,8,2,31,6,45,42,0x02
pmc_hum_jen,9,2,31,20,1262,2314,0x02
pmc_hum_jen,10,4,42,40,949,1275,0x02
pmc_hum_jen,11,1,16,10,1319,1878,0x02
pmc_hum_jen,12,1,1,1,1033,1348,0x02
pmc_hum_jen,13,2,46,16,950,2862,0x02
pmc_hum_jen,14,2,31,20,647,1153,0x04
pmc_hum_jen,15,2,46,16,490,684,0x04
pmc_hum_jen,16,4,41,39,532,593,0x04
pmc_hum_jen,17,1,16,10,679,904,0x04
pmc_hum_jen,18,1,1,1,1031,1348,0x04
pmc_hum_jen,19,2,31,15,273,456,0x08
pmc_hum_jen,20,2,45,15,231,268,0x08
pmc_hum_jen,21,4,40,38,244,214,0x08
pmc_hum_jen,22,1,16,10,292,331,0x08
0x181A318F,0,3,48,45,1387,2212,0x01
0x181A318F,1,1,4,3,1554,2862,0x01
0x181A318F,2,1,10,10,1073,1602,0x01
oc_hum_pilot,0,5,46,45,170,159,0x08
oc_hum_pilot,1,1,19,5,512,722,0x08
oc_hum_pilot,2,1,11,9,118,136,0x08
oc_hum_pilot,3,2,28,5,74,118,0x08
jungle_env_treesmall02,9,1,4,4,388,372,0x04
jungle_env_treesmall02,11,1,4,2,36,18,0x07
jungle_env_treesmall02,12,1,4,2,20,10,0x07
jungle_env_treesmall02,13,1,4,2,16,8,0x07
jungle_env_treesmall02,14,1,4,2,24,12,0x07
jungle_env_treesmall02,15,1,4,2,20,10,0x07
jungle_env_treesmall02,16,1,4,3,28,14,0x07
jungle_env_treesmall02,17,1,4,2,20,10,0x07
jungle_env_treesmall02,18,1,3,2,20,10,0x07
jungle_env_treesmall02,19,1,4,2,16,8,0x07
jungle_env_treesmall02,20,1,4,2,28,14,0x07
jungle_env_treesmall02,21,1,4,2,16,8,0x07
jungle_env_treesmall02,22,1,4,2,20,10,0x07
jungle_env_treesmall02,23,1,3,2,20,10,0x07
jungle_env_treesmall02,24,1,3,2,20,10,0x07
jungle_env_treesmall02,25,1,3,2,20,10,0x07
jungle_env_treesmall02,26,1,1,1,24,12,0x07
jungle_env_treesmall02,27,1,4,2,20,10,0x07
jungle_env_treesmall02,28,1,3,2,24,12,0x07
jungle_env_treesmall02,29,1,3,2,20,10,0x07
0x1A9D89DF,0,2,28,22,71,116,0x08
0x1A9D89DF,1,2,28,22,69,118,0x08
0x1A9D89DF,2,2,28,22,91,138,0x08
0x1A9D89DF,3,2,28,22,71,118,0x08
0x1A9D89DF,4,2,28,22,74,118,0x08
0x1A9D89DF,5,2,28,22,112,130,0x08
0x1A9D89DF,6,1,11,9,123,93,0x08
0x1A9D89DF,7,5,42,35,211,198,0x08
0x1A9D89DF,8,1,17,8,42,32,0x08
0x1A9D89DF,9,1,1,1,28,14,0x08
oc_hum_fireman,0,1,1,1,26,24,0x0F
oc_hum_fireman,1,1,1,1,16,14,0x0F
oc_hum_fireman,2,3,25,9,1034,1404,0x0F
oc_hum_fireman,3,2,28,6,365,482,0x0F
oc_hum_fireman,4,1,11,9,1076,1770,0x0F
oc_hum_fireman,5,5,46,45,1372,2215,0x0F
oc_hum_fireman,6,2,28,6,307,496,0x0F
pmc_hum_mattias_v2,0,1,4,2,68,60,0x01
pmc_hum_mattias_v2,1,1,11,9,1066,1594,0x01
pmc_hum_mattias_v2,2,1,28,2,4091,4599,0x01
pmc_hum_mattias_v2,3,1,31,24,2900,7884,0x01
pmc_hum_mattias_v2,4,1,23,12,501,770,0x01
pmc_hum_mattias_v2,5,1,21,8,133,244,0x01
pmc_hum_mattias_v2,6,7,49,48,3353,9102,0x01
pmc_hum_mattias_v2,7,1,1,1,4102,4599,0x02
pmc_hum_mattias_v2,8,2,27,21,696,1196,0x02
pmc_hum_mattias_v2,9,1,4,2,68,60,0x02
pmc_hum_mattias_v2,10,1,11,9,579,800,0x02
pmc_hum_mattias_v2,11,7,49,48,1923,4694,0x02
pmc_hum_mattias_v2,12,1,1,1,4091,4599,0x04
pmc_hum_mattias_v2,13,1,31,22,358,579,0x04
pmc_hum_mattias_v2,14,1,11,9,305,394,0x04
pmc_hum_mattias_v2,15,6,48,47,2123,1996,0x04
pmc_hum_mattias_v2,16,1,31,22,162,220,0x08
pmc_hum_mattias_v2,17,1,11,9,152,154,0x08
pmc_hum_mattias_v2,18,6,48,46,321,330,0x08
civ_hum_doctorfemale_b,0,2,28,12,203,334,0x08
civ_hum_doctorfemale_b,1,1,12,10,145,160,0x08
civ_hum_doctorfemale_b,2,7,50,48,250,239,0x08
ch_hum_prisoner,0,4,45,40,219,215,0x08
ch_hum_prisoner,1,1,11,9,107,122,0x08
ch_hum_prisoner,2,2,28,22,108,180,0x08
global_env_palmtreebend04,10,1,2,2,46,40,0x04
global_env_palmtreebend04,11,1,1,1,24,24,0x04
global_env_palmtreebend04,12,1,1,1,24,24,0x04
global_env_palmtreebend04,13,1,1,1,24,24,0x04
global_env_palmtreebend04,14,1,1,1,24,24,0x04
global_env_palmtreebend04,15,1,1,1,24,24,0x04
global_env_palmtreebend04,16,1,1,1,24,24,0x04
global_env_palmtreebend04,17,1,1,1,24,24,0x04
global_env_palmtreebend04,18,1,1,1,24,24,0x04
global_env_palmtreebend04,19,1,1,1,24,24,0x04
global_env_palmtreebend04,20,1,1,1,24,24,0x04
global_env_palmtreebend04,21,1,1,1,24,24,0x04
global_env_palmtreebend04,22,1,1,1,24,24,0x04
global_env_palmtreebend04,23,1,1,1,24,24,0x04
global_env_palmtreebend04,24,1,1,1,24,24,0x04
global_env_palmtreebend04,25,1,1,1,24,24,0x04
global_env_palmtreebend04,26,1,1,1,18,16,0x04
global_env_palmtreebend04,27,1,1,1,18,16,0x04
global_env_palmtreebend04,28,1,1,1,18,16,0x04
global_env_palmtreebend04,29,1,1,1,18,16,0x04
global_env_palmtreebend04,30,1,1,1,24,24,0x04
global_env_palmtreebend04,31,1,1,1,5,4,0x07
pmc_hum_mattias_v4,0,1,6,2,72,60,0x01
pmc_hum_mattias_v4,1,1,13,9,1702,2492,0x01
pmc_hum_mattias_v4,2,1,6,2,214,188,0x01
pmc_hum_mattias_v4,3,1,33,27,3060,8236,0x01
pmc_hum_mattias_v4,4,1,24,11,592,902,0x01
pmc_hum_mattias_v4,5,1,28,2,67,38,0x01
pmc_hum_mattias_v4,6,1,30,4,3223,3005,0x01
pmc_hum_mattias_v4,7,1,22,13,133,244,0x01
pmc_hum_mattias_v4,8,4,49,48,2860,3612,0x01
pmc_hum_mattias_v4,9,1,13,9,884,1239,0x02
pmc_hum_mattias_v4,10,1,33,26,823,1411,0x02
pmc_hum_mattias_v4,11,1,6,2,72,60,0x02
pmc_hum_mattias_v4,12,1,6,2,214,188,0x02
pmc_hum_mattias_v4,13,1,30,4,1599,1251,0x02
pmc_hum_mattias_v4,14,4,49,48,1601,1640,0x02
pmc_hum_mattias_v4,15,1,13,9,496,607,0x04
pmc_hum_mattias_v4,16,1,7,3,437,699,0x04
pmc_hum_mattias_v4,17,1,1,1,677,465,0x04
pmc_hum_mattias_v4,18,4,49,48,854,777,0x04
pmc_hum_mattias_v4,19,1,7,3,177,275,0x08
pmc_hum_mattias_v4,20,1,13,9,240,236,0x08
pmc_hum_mattias_v4,21,4,49,47,343,284,0x08
0x25E39BE9,0,2,28,22,51,70,0x08
0x25E39BE9,1,2,28,22,163,284,0x08
0x25E39BE9,2,1,11,9,161,169,0x08
0x25E39BE9,3,1,11,9,152,163,0x08
0x25E39BE9,4,4,45,43,191,216,0x08
0x25E39BE9,5,2,56,41,245,232,0x08
police_hum_officer_b,0,3,48,45,237,214,0x08
police_hum_officer_b,1,1,4,3,163,279,0x08
police_hum_officer_b,2,2,28,10,175,187,0x08
0x2703554F,0,7,42,41,228,196,0x08
0x2703554F,1,7,40,39,236,196,0x08
0x2703554F,2,7,42,41,228,196,0x08
0x2703554F,3,7,42,41,228,196,0x08
0x2703554F,4,7,40,39,236,196,0x08
0x2703554F,5,7,40,39,236,196,0x08
0x2703554F,6,1,10,10,150,168,0x08
0x2703554F,7,1,10,10,150,168,0x08
0x2703554F,8,1,10,10,150,168,0x08
0x2703554F,9,1,10,10,150,168,0x08
0x2703554F,10,1,10,10,150,168,0x08
0x2703554F,11,1,10,10,150,168,0x08
0x2703554F,12,1,26,5,65,110,0x08
0x2703554F,13,1,1,1,118,87,0x08
0x2703554F,14,1,26,5,74,121,0x08
0x2703554F,15,1,26,4,155,112,0x08
0x2703554F,16,1,26,5,79,122,0x08
0x2703554F,17,1,26,5,80,109,0x08
0x2703554F,18,1,26,5,88,136,0x08
0x2703554F,19,1,26,3,143,99,0x08
0x2703554F,20,1,26,5,61,100,0x08
0x2703554F,21,1,26,4,93,55,0x08
pmc_hum_fiona,0,1,13,9,2631,4685,0x0F
pmc_hum_fiona,1,4,23,22,3091,5662,0x0F
pmc_hum_fiona,2,4,47,46,2844,9604,0x0F
pmc_hum_fiona,3,1,13,3,741,463,0x0F
pmc_hum_fiona,4,1,13,3,256,228,0x0F
pmc_hum_fiona,5,1,4,2,169,272,0x0F
pmc_hum_fiona,6,1,1,1,3910,4856,0x0F
0x2BC5152C,0,2,28,5,133,234,0x08
0x2BC5152C,1,1,1,1,186,256,0x08
0x2BC5152C,2,1,11,9,113,122,0x08
0x2BC5152C,3,7,48,44,197,193,0x08
jungle_env_plantmed01,5,1,3,3,106,76,0x04
oc_hum_boardmember,0,1,24,22,216,391,0x08
oc_hum_boardmember,1,1,9,9,124,123,0x08
oc_hum_boardmember,2,5,49,47,218,207,0x08
global_flag_smallvz,2,1,3,3,94,132,0x01
global_flag_smallvz,3,1,3,3,94,132,0x06
global_env_palmtreebend03,10,1,2,2,44,56,0x04
global_env_palmtreebend03,11,1,1,1,24,24,0x04
global_env_palmtreebend03,12,1,1,1,24,24,0x04
global_env_palmtreebend03,13,1,1,1,24,24,0x04
global_env_palmtreebend03,14,1,1,1,21,20,0x04
global_env_palmtreebend03,15,1,1,1,24,24,0x04
global_env_palmtreebend03,16,1,1,1,24,24,0x04
global_env_palmtreebend03,17,1,1,1,18,16,0x04
global_env_palmtreebend03,18,1,1,1,24,24,0x04
global_env_palmtreebend03,19,1,1,1,24,24,0x04
global_env_palmtreebend03,20,1,1,1,24,24,0x04
global_env_palmtreebend03,21,1,1,1,24,24,0x04
global_env_palmtreebend03,22,1,1,1,24,24,0x04
global_env_palmtreebend03,23,1,1,1,24,24,0x04
global_env_palmtreebend03,24,1,1,1,26,24,0x04
global_env_palmtreebend03,25,1,1,1,24,24,0x04
global_env_palmtreebend03,26,1,3,2,20,16,0x04
global_env_palmtreebend03,27,1,5,2,20,16,0x04
global_env_palmtreebend03,28,1,2,2,24,16,0x04
global_env_palmtreebend03,29,1,1,1,28,24,0x04
global_env_palmtreebend03,30,1,1,1,24,24,0x04
global_env_palmtreebend03,31,1,1,1,5,4,0x07
0x2EF7E3C3,0,1,6,3,69,118,0x08
0x2EF7E3C3,1,1,6,3,71,116,0x08
0x2EF7E3C3,2,1,6,3,71,118,0x08
0x2EF7E3C3,3,1,6,3,74,118,0x08
0x2EF7E3C3,4,1,6,3,112,130,0x08
0x2EF7E3C3,5,7,47,45,214,209,0x08
0x2EF7E3C3,6,1,11,9,117,123,0x08
ch_hum_pilot_a,0,2,28,22,141,249,0x08
ch_hum_pilot_a,1,5,44,42,217,199,0x08
ch_hum_pilot_a,2,1,11,9,144,154,0x08
ch_hum_pilot_a,3,1,26,16,92,105,0x08
global_flag_largech,1,1,3,3,98,136,0x06
commercial_bld_corner04x26a,0,2,21,13,39,39,0x08
commercial_bld_corner04x26a,1,5,49,45,235,216,0x08
commercial_bld_corner04x26a,2,2,28,10,165,172,0x08
commercial_bld_corner04x26a,3,1,4,3,86,142,0x08
0x3511CCE7,0,2,42,9,121,95,0x08
0x3511CCE7,1,1,1,1,30,22,0x08
0x3511CCE7,2,2,28,5,28,23,0x08
0x3511CCE7,3,1,27,4,134,236,0x08
0x3511CCE7,4,1,27,4,131,226,0x08
0x3511CCE7,5,1,1,1,43,51,0x08
0x3511CCE7,6,1,11,9,144,151,0x08
0x3511CCE7,7,1,11,9,144,151,0x08
0x3511CCE7,8,6,47,44,207,221,0x08
al_hum_starter04,0,1,26,8,291,422,0x0F
al_hum_starter04,1,1,1,1,25,25,0x0F
al_hum_starter04,2,1,26,14,74,101,0x0F
al_hum_starter04,3,2,28,20,1097,1989,0x0F
al_hum_starter04,4,1,1,1,310,309,0x0F
al_hum_starter04,5,1,1,1,250,235,0x0F
al_hum_starter04,6,1,22,7,79,116,0x0F
al_hum_starter04,7,1,12,10,758,1242,0x0F
al_hum_starter04,8,7,48,47,1631,2362,0x0F
pmc_hum_chris,0,6,46,45,577,510,0x08
pmc_hum_chris,1,2,32,21,309,474,0x08
pmc_hum_chris,2,1,14,10,253,290,0x08
pmc_hum_chris,3,6,46,45,2873,1362,0x04
pmc_hum_chris,4,2,32,22,688,1206,0x04
pmc_hum_chris,5,1,14,10,562,748,0x04
pmc_hum_chris,6,2,32,22,1391,2420,0x02
pmc_hum_chris,7,1,14,10,1024,1529,0x02
pmc_hum_chris,8,1,1,1,108,172,0x02
pmc_hum_chris,9,1,1,1,88,156,0x02
pmc_hum_chris,10,1,1,1,108,172,0x02
pmc_hum_chris,11,1,1,1,88,156,0x02
pmc_hum_chris,12,6,46,45,2423,6132,0x02
pmc_hum_chris,13,1,1,1,102,172,0x01
pmc_hum_chris,14,1,1,1,85,156,0x01
pmc_hum_chris,15,1,1,1,102,172,0x01
pmc_hum_chris,16,1,1,1,85,156,0x01
pmc_hum_chris,17,1,14,10,1963,3163,0x01
pmc_hum_chris,18,1,56,4,290,276,0x01
pmc_hum_chris,19,1,1,1,527,426,0x01
pmc_hum_chris,20,1,23,20,4767,14036,0x01
pmc_hum_chris,21,2,32,8,914,1567,0x01
pmc_hum_chris,22,6,47,46,4813,13414,0x01
ch_hum_pilot_b,0,2,28,22,141,249,0x08
ch_hum_pilot_b,1,5,44,42,217,199,0x08
ch_hum_pilot_b,2,1,11,9,143,154,0x08
ch_hum_pilot_b,3,1,22,19,97,100,0x08
0x3C9A5987,0,4,45,44,206,201,0x08
0x3C9A5987,1,4,45,44,206,201,0x08
0x3C9A5987,2,4,45,44,206,201,0x08
0x3C9A5987,3,1,10,10,118,129,0x08
0x3C9A5987,4,1,4,3,75,110,0x08
0x3C9A5987,5,1,4,3,73,116,0x08
0x3C9A5987,6,1,4,3,122,158,0x08
0x3C9A5987,7,1,4,3,75,122,0x08
0x3C9A5987,8,1,4,3,89,140,0x08
gr_hum_elite,0,3,24,12,111,192,0x08
gr_hum_elite,1,1,11,9,151,167,0x08
gr_hum_elite,2,2,56,42,184,192,0x08
gr_hum_elite,3,1,62,13,904,792,0x08
global_env_treeplaza02,19,1,1,1,5,4,0x07
global_env_treeplaza02,20,1,4,4,92,42,0x04
global_env_treeplaza02,21,1,4,4,315,273,0x04
global_env_treeplaza02,31,1,3,2,60,30,0x07
global_env_treeplaza02,32,1,2,2,58,28,0x07
global_env_treeplaza02,33,1,3,2,48,24,0x07
global_env_treeplaza02,34,1,3,2,60,28,0x07
global_env_treeplaza02,35,1,4,2,72,36,0x07
