index,parent_index,depth,hash,name,in_swit,state,tx,ty,tz,bbox_dx,bbox_dy,bbox_dz
86,1,2,0xB2D620B8,,0,break_piece,7.9469,8.2600,-46.4771,0.020,0.020,0.020
87,1,2,0x485869B4,,0,break_piece,5.3273,3.8742,-20.8147,0.020,0.020,0.020
88,1,2,0x225A6C79,,0,break_piece,-7.9553,3.8642,-46.4771,0.020,0.020,0.020
89,1,2,0xC053166E,,0,break_piece,7.9469,3.8642,-46.4771,0.020,0.020,0.020
90,1,2,0xDF392D5C,,0,break_piece,0.0000,14.0000,-53.5013,0.020,0.020,0.020
91,1,2,0x5B1B1848,,0,break_piece,-6.4254,7.9621,-18.8525,0.020,0.020,0.020
92,1,2,0xDD0F18FB,,0,break_piece,-7.4821,14.0000,2.9754,0.020,0.020,0.020
93,1,2,0xBB0CA4DE,,0,break_piece,-7.9662,14.0000,48.1759,0.020,0.020,0.020
94,1,2,0xDD139629,,0,break_piece,0.0710,28.6942,34.0360,0.020,0.020,0.020
95,1,2,0xC3112EA4,,0,break_piece,6.5240,25.8289,40.2239,0.020,0.020,0.020
96,1,2,0x652C7127,,0,break_piece,-0.0007,25.8289,19.0725,0.020,0.020,0.020
97,1,2,0x4329FD0A,,0,break_piece,8.1067,16.2088,14.8403,0.020,0.020,0.020
98,1,2,0xE531B7D5,,0,break_piece,8.1067,16.2088,5.1947,0.020,0.020,0.020
99,1,2,0xBB2F3720,,0,break_piece,-8.0352,16.2088,5.1947,0.020,0.020,0.020
100,1,2,0xBD226E53,,0,break_piece,-8.0352,16.2088,14.7967,0.020,0.020,0.020
101,1,2,0xDB205EF6,,0,break_piece,-1.0013,23.8034,-21.7984,0.020,0.020,0.020
102,1,2,0x5D27E761,,0,break_piece,-0.0070,22.8827,-5.7392,0.020,0.020,0.020
