hash,n_models,anim_tracks,in_swit,kind,example_parent_models
0xCC5594BD,100,0,100,destruction-piece,city_bld_corner16x16a|industrial_bld_warehousesmall02
0xA641DAE1,99,0,99,destruction-piece,0x0307555E|0x07B982D6
0x26CA2A92,97,0,97,destruction-piece,maracaibo_obelisk|village_bld_food02
0xCF72A7E9,97,0,97,destruction-piece,global_checkpointa|vzoutpost_bld_guardtower_pr
0xB2C8BB5D,89,0,89,destruction-piece,docks_bld_warehousesmall|industrial_bld_warehousesmall02
0x712FB5D7,85,0,0,model-root,dlc01_dlccon002_race_tinygeometry_tgr14_tgc25_0x00155680|dlc01_dlccon002_race_tinygeometry_tgr14_tgc23_0x00155687
0x063C61D3,84,0,84,destruction-piece,0x0307555E|civ_veh_boat_dinghy
0xB84640BD,82,0,82,destruction-piece,city_bld_corner32x32b|city_bld_corner16x16a
0x962C4871,81,44,0,mesh-node,al_veh_truck_hmmwv_armored|civ_veh_truck_transport
0x3DF5A3EF,81,5,0,mesh-node,al_veh_truck_hmmwv_armored|civ_veh_truck_transport
0x52385AE5,81,0,0,mesh-node,vzoutpost_bld_guardtower_pr|white_bld_segment16x16a
0x715F5613,81,0,0,mesh-node,al_veh_truck_hmmwv_armored|civ_veh_truck_transport
0x48CC9EAF,79,0,79,destruction-piece,village_bld_food02|0x05ED45FC
0x4E435B48,79,0,79,destruction-piece,city_bld_corner32x32b|city_bld_corner16x16a
0x0BFB95AC,77,0,0,mesh-node,al_veh_truck_hmmwv_armored|pr_veh_boat_jetski
0xDB205EF6,77,0,0,mesh-node,city_bld_corner32x32b|docks_bld_warehousesmall
0x51C22F6C,76,0,0,mesh-node,vzoutpost_bld_guardtower_pr|docks_bld_warehousesmall
0x899E3B08,76,0,0,mesh-node,groutpost_bld_shackfuselage|white_bld_segment16x16a
0x4205CFD0,75,0,75,destruction-piece,al_veh_truck_hmmwv_armored|civ_veh_truck_transport
0x46A08F9E,75,0,75,destruction-piece,industrial_bld_warehousesmall02|industrial_bld_warehouse05
0x913633E4,75,0,75,destruction-piece,al_veh_truck_hmmwv_armored|civ_veh_truck_transport
0xA529917E,75,0,75,destruction-piece,al_veh_truck_hmmwv_armored|civ_veh_truck_transport
0xDD2E46E2,75,0,75,destruction-piece,al_veh_truck_hmmwv_armored|civ_veh_truck_transport
0xDF727D0F,75,0,0,mesh-node,industrial_bld_warehousesmall02|industrial_bld_warehouse05
0x0CA1E5DC,72,0,72,destruction-piece,civ_veh_truck_transport|oc_veh_truck_ext
0x14886128,72,0,0,mesh-node,vzoutpost_bld_barrackreinforced|city_bld_corner16x16a
0x89EA902A,72,0,72,destruction-piece,civ_veh_truck_transport|oc_veh_truck_ext
0xD14291B9,72,0,0,mesh-node,civ_veh_truck_transport|oc_veh_truck_ext
0x363EB852,71,0,71,destruction-piece,caracas_bld_historical02|caracas_bld_governmentcorner01
0x2E048617,70,0,0,mesh-node,city_bld_corner16x16a|industrial_bld_warehousesmall02
0xBCF01D36,70,0,70,destruction-piece,city_bld_corner16x16a|industrial_bld_warehousesmall02
0x3ECECD88,69,0,69,destruction-piece,village_bld_food02|0x06B7DF09
0x5382B35E,69,0,0,mesh-node,cumana_bld_fortress01|shanty_bld_housegroupsmall03
0xF17F52EC,69,0,69,destruction-piece,city_bld_corner32x32b|city_bld_corner16x16a
0x8BC4B232,68,0,0,mesh-node,al_veh_truck_hmmwv_armored|pr_veh_boat_jetski
0xB38E2FF0,68,0,0,mesh-node,city_bld_corner32x32b|white_bld_segment16x16a
0xEB818811,66,0,66,destruction-piece,city_bld_corner32x32b|city_bld_corner16x16a
0x2CE53661,64,0,0,mesh-node,al_veh_truck_hmmwv_armored|oc_veh_truck_ext
0x2FD85212,64,0,64,destruction-piece,al_veh_truck_hmmwv_armored|oc_veh_truck_ext
0x9E8568CF,64,0,0,mesh-node,vzoutpost_bld_barrackreinforced|city_bld_corner16x16a
0xFA23E154,64,0,64,destruction-piece,al_veh_truck_hmmwv_armored|oc_veh_truck_ext
0x8B7C73C3,62,0,62,destruction-piece,city_bld_corner16x16a|caracas_bld_governmentcorner01
0xA8D1B2FD,62,0,62,destruction-piece,village_bld_food02|0x06B7DF09
0x243A5276,61,0,61,destruction-piece,0x07B982D6|vz_veh_apc_m113_command
0x9EC05A1E,60,0,60,destruction-piece,village_bld_food02|vzoutpost_wallb_oc
0xA40B15D4,60,0,0,mesh-node,al_veh_truck_hmmwv_armored|civ_veh_truck_transport
0xC45E0BFF,60,0,0,mesh-node,al_veh_truck_hmmwv_armored|0x0307555E
0x6237F34C,57,0,56,destruction-piece,caracas_bld_historical02|caracas_bld_governmentcorner01
0x2217B0F7,56,0,56,destruction-piece,groutpost_bld_shackfuselage|proutpost_docka
0x3CC2A6BB,56,0,56,destruction-piece,city_bld_corner16x16a|commercial_bld_firestation
0x5E404CA9,56,0,0,mesh-node,caracas_bld_historical02|caracas_bld_governmentcorner01
0x939C0C2F,56,0,0,mesh-node,white_bld_segment16x16a|proutpost_docka
0xC88A3631,55,0,0,mesh-node,al_veh_truck_hmmwv_armored|civ_veh_truck_transport
0xFDCBD8D9,55,0,55,destruction-piece,groutpost_bld_shackfuselage|proutpost_docka
0x58412C6F,54,0,54,destruction-piece,caracas_bld_governmentcorner01|vzoutpost_bld_garage
0xC0C2CE3B,54,0,54,destruction-piece,vzoutpost_wallb_oc|vzoutpost_walla_pr
0x14D8F03E,52,0,52,destruction-piece,al_veh_truck_hmmwv_armored|civ_veh_truck_transport
0x592552BD,52,0,0,mesh-node,al_veh_truck_hmmwv_armored|civ_veh_truck_transport
0x5B6A410A,52,0,52,destruction-piece,vzoutpost_bld_guardtower_pr|vzoutpost_bld_barrackreinforced
0x79FD3B48,52,0,52,destruction-piece,caracas_bld_historical02|caracas_bld_governmentcorner01
0xC3290D88,52,0,52,destruction-piece,al_veh_truck_hmmwv_armored|civ_veh_truck_transport
0x55757568,51,0,0,mesh-node,industrial_bld_warehousesmall02|commercial_bld_segment8x8c
0x9709979F,51,0,51,destruction-piece,industrial_bld_warehousesmall02|commercial_bld_segment8x8c
0xF03104DA,51,0,0,mesh-node,vzoutpost_bld_guardtower_pr|white_bld_segment16x16a
0xD12B39F0,50,0,0,mesh-node,city_bld_corner32x32b|city_bld_corner16x16a
0x79834A37,49,0,0,mesh-node,city_bld_corner32x32b|city_bld_corner16x16a
0x7C82F4B2,49,0,0,mesh-node,vzoutpost_bld_barrackreinforced|industrial_bld_warehouse05
0x80802775,49,0,49,destruction-piece,industrial_bld_warehousesmall02|industrial_bld_warehouse05
0xCC01AD3A,49,0,0,mesh-node,industrial_bld_warehousesmall02|industrial_bld_warehouse05
0x05CFAD1F,47,0,0,mesh-node,city_bld_corner32x32b|city_bld_corner16x16a
0xF7B86732,46,0,0,mesh-node,city_bld_corner32x32b|city_bld_corner16x16a
0x43402C0A,45,0,37,destruction-piece,city_bld_corner32x32b|city_bld_corner16x16a
0x6979FFA6,45,0,45,destruction-piece,industrial_bld_warehousesmall02|caracas_bld_governmentcorner01
0xBB28D8B7,45,0,0,mesh-node,city_bld_corner32x32b|city_bld_corner16x16a
0x846B4EC9,44,0,43,destruction-piece,city_bld_corner32x32b|city_bld_corner16x16a
0xA6C4E3E4,43,0,43,destruction-piece,vzoutpost_wallb_oc|village_bld_shacksmall01
0xD926C95A,43,0,0,mesh-node,city_bld_corner32x32b|city_bld_corner16x16a
0x86B3D504,42,0,0,mesh-node,jungle_env_treesmall01|jungle_env_treesmall03
0xC1BB01D3,42,0,0,mesh-node,city_bld_corner32x32b|city_bld_corner16x16a
0xD5447B84,42,0,42,destruction-piece,city_bld_corner32x32b|city_bld_corner16x16a
0x3F77915D,41,0,0,mesh-node,residential_bld_segment16x16b|commercial_bld_firestation
0x874AEE1B,41,0,0,mesh-node,jungle_env_treesmall01|jungle_env_treesmall03
0x8F85AB70,41,0,0,mesh-node,city_bld_corner32x32b|city_bld_corner16x16a
0xB48B89A5,41,0,0,mesh-node,jungle_env_treesmall01|jungle_env_treesmall03
0xB63971A4,41,0,41,destruction-piece,vzoutpost_bld_garage|caracas_bld_parquecentral03
0xCD22E928,41,0,41,destruction-piece,residential_bld_segment16x16b|commercial_bld_firestation
0xCD4A3516,41,0,0,mesh-node,city_bld_corner32x32b|city_bld_corner16x16a
0x6F373D1F,40,0,40,destruction-piece,global_checkpointa|proutpost_bld_barstand
0x13444B20,39,0,39,destruction-piece,industrial_bld_warehousesmall02|industrial_bld_warehouse05
0x2E090345,39,0,0,mesh-node,industrial_bld_warehousesmall02|industrial_bld_warehouse05
0x4C9F8D30,39,0,39,destruction-piece,city_bld_corner32x32b|city_bld_corner16x16a
0x738B5885,39,0,39,destruction-piece,industrial_bld_warehousesmall02|caracas_bld_governmentcorner01
0xBA7D3585,39,0,39,destruction-piece,city_bld_corner32x32b|city_bld_corner16x16a
0xF98890E5,39,0,0,mesh-node,city_bld_corner32x32b|city_bld_corner16x16a
0x423D5BE1,38,0,38,destruction-piece,oc_veh_semi_austin|civ_veh_truck_ambulance
0x73A31898,38,0,0,mesh-node,oc_veh_semi_austin|civ_veh_truck_ambulance
0xABD9AD8F,38,0,38,destruction-piece,oc_veh_semi_austin|civ_veh_truck_ambulance
0xECCFC098,38,0,38,destruction-piece,city_bld_corner16x16a|commercial_bld_firestation
0x0D85F419,37,0,37,destruction-piece,oc_veh_semi_austin|civ_veh_truck_ambulance
0x4FC5DB37,37,0,37,destruction-piece,groutpost_bld_shackfuselage|proutpost_docka
0x9380B8B6,37,0,0,mesh-node,oc_veh_semi_austin|civ_veh_truck_ambulance
0xB581D08F,37,0,37,destruction-piece,oc_veh_semi_austin|civ_veh_truck_ambulance
0xD2331437,37,0,0,mesh-node,vzoutpost_bld_guardtower_pr|white_bld_segment16x16a
0xB164A5B3,36,17,0,mesh-node,al_veh_truck_hmmwv_armored|civ_veh_truck_transport
0x65C83C70,36,0,36,destruction-piece,groutpost_bld_shackfuselage|proutpost_docka
0x6DC3CBDA,36,0,36,destruction-piece,groutpost_bld_shackfuselage|proutpost_docka
0x19098C70,35,0,35,destruction-piece,industrial_bld_warehouse05|commercial_bld_segment8x8c
0x26DDB24A,35,0,35,destruction-piece,village_bld_food02|village_bld_shacksmall01
0x33C9D423,35,0,35,destruction-piece,city_bld_corner16x16a|city_bld_segment16x16b
0x71999812,35,0,0,mesh-node,mountain_bld_bunkerdestroyed|proutpost_docka
0xD98776ED,35,0,0,mesh-node,al_veh_truck_hmmwv_armored|civ_veh_truck_transport
0x130F3AFA,33,0,33,destruction-piece,gr_veh_truck_m151_50cal|civ_veh_semi_mark
0x47C15171,33,0,33,destruction-piece,groutpost_bld_shackfuselage|proutpost_docka
0x5284339A,33,0,0,mesh-node,jungle_env_treesmall01|global_env_palmtreebend02
0x5615C7EC,33,0,33,destruction-piece,gr_veh_truck_m151_50cal|civ_veh_semi_mark
0x70B6D66B,33,0,0,mesh-node,vz_veh_apc_m113_command|oc_veh_truck_ext
0xC0C74B69,33,0,33,destruction-piece,village_bld_food02|village_bld_shacksmall01
0xFF7065C9,33,0,0,mesh-node,gr_veh_truck_m151_50cal|civ_veh_semi_mark
0x2F735D37,32,0,32,destruction-piece,industrial_bld_warehousesmall02|industrial_bld_warehouse05
0x4406E750,32,0,0,mesh-node,industrial_bld_warehousesmall02|industrial_bld_warehouse05
0x9680DF09,32,0,0,mesh-node,vzoutpost_bld_barrackreinforced|vzoutpost_bld_barrack
0xA60978DC,32,0,0,mesh-node,0x01ED3D6F|0x055E9085
0xBA39E05B,32,0,0,mesh-node,0x0307555E|vz_veh_apc_m113_command
0xBF4AAD1B,32,0,0,mesh-node,0x01ED3D6F|0x055E9085
0xC28A0C3F,32,0,32,destruction-piece,caracas_bld_historical02|caracas_bld_governmentcorner01
0xCFCB21E5,32,0,32,destruction-piece,groutpost_bld_shackfuselage|caracas_bld_historical02
0xD0B0CDDE,32,0,0,mesh-node,0x06B7DF09|shanty_env_bush01
0x08C73C5A,31,0,31,destruction-piece,al_veh_truck_hmmwv_armored|civ_veh_truck_transport
0x2AE33DB8,31,0,31,destruction-piece,al_veh_truck_hmmwv_armored|civ_veh_truck_transport
0x4001D72E,31,0,31,destruction-piece,al_veh_truck_hmmwv_armored|civ_veh_truck_transport
0x48E02667,31,0,31,destruction-piece,village_bld_shacksmall01|village_bld_housestilts05
0x60873362,31,0,31,destruction-piece,caracas_bld_historical02|caracas_bld_governmentcorner01
0xA0858BA4,31,0,31,destruction-piece,al_veh_truck_hmmwv_armored|civ_veh_truck_transport
0xB69EDE6D,31,0,31,destruction-piece,village_bld_shacksmall01|village_bld_housestilts05
0x2D7DFEDA,30,0,30,destruction-piece,caracas_bld_historical02|docks_docksmall
0x2E4BAB55,30,0,30,destruction-piece,vz_veh_apc_m113_command|oc_veh_semi_fueltrailer
0x3DF6AA10,30,0,34,destruction-piece,global_weapon_qbu88sniper|global_weapon_rpg
0x96E38F39,30,0,0,mesh-node,0x0307555E|vz_veh_apc_m113_command
0x9D8BCEB7,30,0,0,mesh-node,city_bld_corner32x32b|white_bld_segment16x16a
0xB88C3B18,30,0,30,destruction-piece,caracas_bld_historical02|caracas_bld_governmentcorner01
0x1627E091,29,0,0,mesh-node,0x01ED3D6F|0x055E9085
0x203CBF84,29,0,0,mesh-node,0x0307555E|vz_veh_apc_m113_command
0x3566387E,29,0,0,mesh-node,residential_bld_segment16x16b|commercial_bld_firestation
0x4B01AB4F,29,0,0,mesh-node,industrial_bld_warehousesmall02|caracas_bld_historical02
0x7C13A6F1,29,0,29,destruction-piece,residential_bld_segment16x16b|commercial_bld_firestation
0x84FDD93A,29,0,0,mesh-node,0x01ED3D6F|0x055E9085
0x8C9C5DB8,29,0,29,destruction-piece,village_bld_shacksmall01|chinaoutpost_bld_tent02
0xB6C4645B,29,0,29,destruction-piece,vzoutpost_bld_guardtower_pr|global_trafficlight01
0xBD226E53,29,0,0,mesh-node,ch_veh_boat_destroyer|commercial_bld_supermarket
0xCDBE52CC,29,0,29,destruction-piece,groutpost_bld_shackfuselage|proutpost_docka
0xFDA4038C,29,0,0,mesh-node,vzoutpost_bld_guardtower_pr|global_trafficlight01
0x8A62EF6B,28,0,0,mesh-node,0x0307555E|vz_veh_tank_amx30_base
0x31A498CD,27,0,27,destruction-piece,village_bld_house02|0x0AAE6D5A
0x5021DD05,27,0,0,mesh-node,groutpost_bld_shackfuselage|proutpost_docka
0x506302D2,27,0,0,mesh-node,0x0307555E|vz_veh_apc_m113_command
0x7893A99D,27,0,27,destruction-piece,0x0307555E|vz_veh_apc_m113_command
0x838B8286,27,0,27,destruction-piece,groutpost_bld_shackfuselage|proutpost_docka
0xA930085D,27,0,0,mesh-node,0x0307555E|vz_veh_apc_m113_command
0xB325D2E0,27,0,27,destruction-piece,groutpost_bld_shackfuselage|proutpost_docka
0xB609A682,27,0,0,mesh-node,village_bld_house02|0x0AAE6D5A
0xB7D7B2F2,27,0,27,destruction-piece,civ_veh_car_r90_limo|0x3CAC72AB
0xBEE2CEC1,27,0,0,mesh-node,civ_veh_car_r90_limo|0x3CAC72AB
0xC15EFEE7,27,0,0,mesh-node,shanty_env_bush01|0x1CFDCEC5
0xC436EC3D,27,0,0,mesh-node,0x0307555E|vz_veh_apc_m113_command
0xCADD5E5C,27,0,27,destruction-piece,city_bld_corner16x16a|commercial_bld_firestation
0xD56198B4,27,0,27,destruction-piece,civ_veh_car_r90_limo|0x3CAC72AB
0xD8092CF6,27,0,27,destruction-piece,civ_veh_truck_transport|oc_veh_truck_ext
0xE7BC3D23,27,0,27,destruction-piece,proutpost_docka|caracas_bld_historical02
0x1699655F,26,0,26,destruction-piece,village_bld_shacksmall01|chinaoutpost_bld_tent02
0x16BACC34,26,0,0,mesh-node,vzoutpost_bld_guardtower_pr|groutpost_bld_shackfuselage
0x3E98F9C2,26,0,26,destruction-piece,city_bld_corner32x32b|city_bld_corner16x16a
0x4A88A430,26,0,0,mesh-node,jungle_env_treesmall01|jungle_env_treesmall03
0x85F3B787,26,0,26,destruction-piece,city_bld_corner32x32b|city_bld_corner16x16a
0xC5B9C906,26,0,26,destruction-piece,proutpost_docka|caracas_bld_historical02
0x502B8BCC,25,0,0,mesh-node,vzoutpost_bld_guardtower_pr|industrial_bld_warehousesmall02
0x518DB502,25,0,0,mesh-node,vzoutpost_bld_guardtower_pr|groutpost_bld_shackfuselage
0x57187C9D,25,0,0,mesh-node,pr_veh_boat_jetski|civ_veh_boat_dinghy
0x6DF16930,25,0,0,mesh-node,jungle_env_treesmall03|global_env_palmtreebend02
0xA468D3CD,25,0,0,mesh-node,caracas_bld_governmentcorner01|maracaibo_bld_skyscraper02
0xD510F432,25,0,0,mesh-node,pr_veh_boat_jetski|civ_veh_boat_dinghy
0xE7BD7C3C,25,0,0,mesh-node,maracaibo_bld_skyscraper02|caracas_bld_parquecentral03
0x064C8A45,24,0,0,mesh-node,city_bld_corner32x32b|city_bld_corner16x16a
0x0735B220,24,0,0,mesh-node,civ_veh_truck_transport|gr_veh_truck_m151_50cal
0x2EB34FC4,24,0,0,mesh-node,industrial_bld_warehouse04|commercial_bld_supermarket
0x43E3FA2A,24,0,0,mesh-node,caracas_bld_governmentcorner01|maracaibo_bld_skyscraper02
0x4EBED574,24,0,24,destruction-piece,industrial_bld_warehouse05|commercial_bld_segment8x8c
0x6A6BF7D3,24,0,0,mesh-node,pr_veh_boat_jetski|civ_veh_boat_dinghy
0x7C7E7784,24,0,0,mesh-node,vzoutpost_bld_barrackreinforced|vzoutpost_bld_barrack
0x7DA20487,24,0,24,destruction-piece,civ_veh_truck_transport|gr_veh_truck_m151_50cal
0x83364907,24,0,24,destruction-piece,proutpost_docka|caracas_bld_historical02
0x951DE16C,24,0,0,mesh-node,city_bld_corner32x32b|city_bld_corner16x16a
0x99F51FD4,24,0,24,destruction-piece,ocoutpost_wallgate|vzoutpost_wallgate
0xB22F2169,24,0,24,destruction-piece,civ_veh_truck_transport|gr_veh_truck_m151_50cal
0xC327E809,24,0,0,mesh-node,caracas_wallshort|residential_bld_corner16x16a
0xC9E4272C,24,0,24,destruction-piece,caracas_wallshort|residential_bld_corner16x16a
0xCCD03ACB,24,0,24,destruction-piece,village_bld_house02|proutpost_bld_bunker
0xF8A9D6C3,24,0,24,destruction-piece,industrial_bld_warehouse04|commercial_bld_supermarket
0x11C76006,23,0,23,destruction-piece,city_bld_segment16x16b|city_bld_standalone05
0x209B091F,23,0,23,destruction-piece,city_bld_corner32x32b|city_bld_corner16x16a
0x2C4AB49F,23,0,0,mesh-node,global_weapon_qbu88sniper|global_weapon_rpg
0x3944CD23,23,0,0,mesh-node,jungle_env_treesmall03|global_env_palmtreebend02
0x45FA1E83,23,0,0,mesh-node,industrial_bld_warehousesmall02|industrial_bld_warehouse05
0x51CD703F,23,0,23,destruction-piece,groutpost_bld_shackcave04|village_bld_farming03
0x529144D4,23,0,0,mesh-node,gr_veh_truck_m151_50cal|ch_veh_truck_sx2150_mlrs
0x5768AC9B,23,0,0,mesh-node,commercial_bld_firestation|aloutpost_bld_prison
0x5BF5B400,23,0,23,destruction-piece,city_bld_corner32x32b|city_bld_corner16x16a
0x61C07AE1,23,0,0,mesh-node,caracas_bld_governmentcorner01|maracaibo_bld_skyscraper02
0x63F1436A,23,0,23,destruction-piece,city_bld_corner32x32b|city_bld_corner16x16a
0x648EA53A,23,0,23,destruction-piece,caracas_wallshort|residential_bld_corner16x16a
0x8DE5AD74,23,0,25,destruction-piece,global_weapon_qbu88sniper|global_weapon_tmp
0x9C0662AA,23,0,23,destruction-piece,industrial_bld_warehousesmall02|industrial_bld_warehouse05
0xAC7D2769,23,0,0,mesh-node,global_env_palmtreebend02|jungle_env_plantlarge01
0xC0A0822D,23,0,23,destruction-piece,city_bld_corner32x32b|city_bld_corner16x16a
0xD6136FD2,23,0,23,destruction-piece,commercial_bld_firestation|aloutpost_bld_prison
0xE28EBBCD,23,0,23,destruction-piece,caracas_bld_historical02|caracas_bld_governmentcorner01
0xF2B7BF29,23,0,0,mesh-node,shanty_env_bush01|global_env_bushlarge02
0x16555E9E,22,0,0,mesh-node,civ_veh_car_r90_limo|civ_veh_semi_mark
0x18E82AF4,22,0,17,destruction-piece,caracas_bld_governmentcorner01|maracaibo_bld_skyscraper02
0x34975602,22,0,22,destruction-piece,village_bld_shacksmall01|chinaoutpost_bld_tent02
0x369F32B0,22,0,0,mesh-node,civ_veh_car_r90_limo|civ_veh_semi_mark
0x45B48258,22,0,22,destruction-piece,proutpost_docka|caracas_bld_historical02
0x510DCB96,22,0,22,destruction-piece,0x0307555E|vz_veh_tank_amx30_base
0x519A6957,22,0,22,destruction-piece,civ_veh_car_r90_limo|civ_veh_semi_mark
0x54C595F0,22,0,22,destruction-piece,0x0307555E|vz_veh_tank_amx30_base
0x86F3AF11,22,0,22,destruction-piece,civ_veh_car_r90_limo|civ_veh_semi_mark
0xAB1C12F9,22,0,22,destruction-piece,civ_veh_car_r90_limo|civ_veh_semi_mark
0xC851B695,22,0,0,mesh-node,0x0307555E|vz_veh_tank_amx30_base
0xD813B095,22,0,0,mesh-node,caracas_bld_governmentcorner01|maracaibo_bld_skyscraper02
0xDAA69FE4,22,0,0,mesh-node,caracas_bld_governmentcorner01|maracaibo_bld_skyscraper02
0xF3052D7D,22,0,0,mesh-node,city_bld_corner32x32b|city_bld_corner16x16a
0xFBF9E897,22,0,22,destruction-piece,civ_veh_car_r90_limo|civ_veh_semi_mark
0x0B96B8E9,21,0,0,mesh-node,industrial_bld_warehousesmall02|maracaibo_bld_skyscraper02
0x1CA2D2DE,21,0,0,mesh-node,0x19676216|0x3CAC72AB
0x2C8ECA6B,21,0,0,mesh-node,gr_veh_truck_m151_50cal|ch_veh_truck_sx2150_mlrs
0x4A8CBB0E,21,0,0,mesh-node,gr_veh_truck_m151_50cal|ch_veh_truck_sx2150_mlrs
0x4BC46491,21,0,0,mesh-node,industrial_bld_warehouse05|aloutpost_bld_prison
0x590DD043,21,0,21,destruction-piece,commercial_bld_firestation|commercial_bld_segment8x16e
0x6133D4EA,21,0,21,destruction-piece,proutpost_docka|caracas_bld_historical02
0x6FB7030D,21,0,21,destruction-piece,proutpost_docka|caracas_bld_historical02
0x98F9228D,21,0,0,mesh-node,jungle_env_treesmall01|jungle_env_treesmall03
0xA445343A,21,0,0,mesh-node,city_bld_corner32x32b|city_bld_corner16x16a
0xDC46ECEA,21,0,0,mesh-node,jungle_env_treesmall01|jungle_env_treesmall03
0xE63328C2,21,0,0,mesh-node,city_bld_corner32x32b|city_bld_corner16x16a
0xEA779C71,21,0,21,destruction-piece,industrial_bld_warehousesmall02|commercial_bld_segment8x8c
0x0E94DB99,20,0,20,destruction-piece,village_bld_shacksmall01|groutpost_bld_shacktall01
0x22614B62,20,0,0,mesh-node,caracas_bld_governmentcorner01|maracaibo_bld_skyscraper02
0x3E383078,20,0,0,mesh-node,city_bld_corner32x32b|city_bld_corner16x16a
0x59384580,20,0,20,destruction-piece,caracas_bld_historical02|0x167D449D
0x59DB5579,20,0,0,mesh-node,al_veh_truck_hmmwv_armored|global_weapon_towtripod
0x6BFD7FA4,20,0,20,destruction-piece,vzoutpost_bld_guardtower_pr|vzoutpost_bld_guardtower
