hash,name,name_source,name_candidates,n_models,as_root,in_swit,as_leaf,anim_tracks,anim_skel,depth_min,depth_max,max_bbox,offset,states,example_models
0xF450ED0D,bone_attach_rhand,rainbow,3,131,0,0,134,6549,266,1,10,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0xFA761573,bone_attach_lhand,rainbow,2,131,0,0,134,6549,266,1,10,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x02C94E18,bone_lthumb2,rainbow,1,131,4,0,4,6489,264,0,11,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x05EA68FE,bone_rmiddle3,rainbow,1,131,4,0,134,6489,264,0,12,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x07628784,bone_lmiddle3,rainbow,1,131,4,0,134,6489,264,0,12,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x0CC71F3F,bone_lthumb1,rainbow,1,131,4,0,0,6489,264,0,10,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x163F93BD,bone_rthumb1,rainbow,1,131,4,0,0,6489,264,0,10,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x1CE73684,bone_lpinky1,rainbow,1,131,0,0,0,6489,264,1,10,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x2164EF09,bone_lmiddle2,rainbow,1,131,4,0,4,6489,264,0,11,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x248E1087,bone_rring1,rainbow,1,131,0,0,0,6489,264,1,10,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x24928DB5,bone_rring3,rainbow,1,131,4,0,134,6489,264,0,12,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x27ECDD1B,bone_rmiddle2,rainbow,1,131,4,0,4,6489,264,0,11,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x2CCBCECD,bone_lthumb3,rainbow,1,131,4,0,134,6489,264,0,12,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x49FB1AF7,bone_lring3,rainbow,1,131,4,0,134,6489,264,0,12,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x54C6C05E,bone_rpinky1,rainbow,1,131,0,0,0,6489,264,1,10,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x5CCB4A24,bone_rpinky3,rainbow,1,131,4,0,134,6489,264,0,12,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x5FB3BEC6,bone_rindex2,rainbow,1,131,4,0,4,6489,264,0,11,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x67F90B9A,bone_lring2,rainbow,1,131,4,0,4,6489,264,0,11,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x76CDB1A9,bone_rpinky2,rainbow,1,131,4,0,4,6489,264,0,11,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x7F5D343E,bone_lmiddle1,rainbow,1,131,0,0,0,6489,264,1,10,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x81B632E3,bone_rindex3,rainbow,1,131,4,0,134,6489,264,0,12,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x8C243564,bone_lindex2,rainbow,1,131,4,0,4,6489,264,0,11,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x8DEFBC44,bone_rmiddle1,rainbow,1,131,0,0,0,6489,264,1,10,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x94380B52,bone_rthumb2,rainbow,1,131,4,0,4,6489,264,0,11,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x94E1E33E,bone_lpinky3,rainbow,1,131,4,0,134,6489,264,0,12,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0xA6221FBB,bone_lindex1,rainbow,1,131,0,0,0,6489,264,1,10,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0xA6269CE9,bone_lindex3,rainbow,1,131,4,0,134,6489,264,0,12,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0xB63A7F6F,bone_rthumb3,rainbow,1,131,4,0,134,6489,264,0,12,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0xB6E4575B,bone_lpinky2,rainbow,1,131,4,0,4,6489,264,0,11,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0xCA0061A5,bone_lring1,rainbow,1,131,0,0,0,6489,264,1,10,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0xE1BB4731,bone_rindex1,rainbow,1,131,0,0,0,6489,264,1,10,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0xFA900D00,bone_rring2,rainbow,1,131,4,0,4,6489,264,0,11,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x3120671B,Bone_RFootBone1,rainbow,1,131,4,0,4,6236,266,0,6,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x31DB4F50,Bone_Attach_Root,rainbow,1,131,0,0,130,6236,266,1,2,0.03,0,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x97234644,Bone_RFootBone2,rainbow,1,131,4,0,134,6236,266,0,7,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0xCBC1EB51,GlobalSRT,rainbow,1,131,133,0,4,6236,266,0,1,768.24,0,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x1226F58D,Bone_LFootBone1,rainbow,1,131,4,0,4,6235,266,0,6,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x901F6D22,Bone_LFootBone2,rainbow,1,131,4,0,134,6235,266,0,7,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x8869E876,hp_dock_fl,rainbow,1,131,0,0,131,0,0,3,4,0.03,1,break_piece|intact,0x0065B09D|0x02195587|0x02D1FC23
0x8F27AA8C,slice1a_ruin,rainbow,1,123,0,123,73,0,0,2,2,146.16,0,break_piece|intact,0x0499A0F1|0x0859EA8A|0x086666D2
0xD721FC8C,hp_seat_fl,rainbow,1,123,0,0,123,0,0,3,4,0.03,1,break_piece|intact,0x0065B09D|0x02195587|0x0307555E
0xFE1F4EA3,,,0,119,0,119,119,0,0,3,7,1.00,1,break_piece|intact,0x0065B09D|0x02195587|0x0307555E
0x688C4858,hp_dock_fr,rainbow,1,117,0,0,117,0,0,3,4,0.03,1,break_piece|intact,0x0065B09D|0x02195587|0x02D1FC23
0x0DB6DF22,piece1a_propdebris19,rainbow,1,115,0,115,111,0,0,2,3,27.36,1,break_piece|intact,0x019FE5AE|0x056B331D|0x05D426D7
0xDBF393BD,hp_fx_exhaust_a,rainbow,1,113,0,0,113,0,0,1,5,0.03,1,break_piece|intact,0x0065B09D|0x02195587|0x0307555E
0x2C3EDC3C,,,0,112,0,112,104,0,0,2,4,11.92,1,break_piece|intact,0x0307555E|0x044EDB9C|0x07B982D6
0x4119F5A8,,,0,112,0,112,112,0,0,3,7,5.93,1,break_piece|intact,0x0065B09D|0x02195587|0x0307555E
0x663986DE,,,0,111,111,0,111,0,0,0,0,17024078281948790784.00,0,,0x00426AB6|0x0042E9B3|0x020CC5C0
0x8BC21F85,,,0,110,0,110,110,0,0,3,7,1.00,1,break_piece|intact,0x0065B09D|0x02195587|0x0307555E
0xD6EBE292,hp_seat_fr,rainbow,1,108,0,0,108,0,0,3,5,0.03,1,break_piece|intact,0x0065B09D|0x02195587|0x0E9502CF
0x8B36C275,bone_frame,rainbow,1,107,0,0,0,0,0,1,1,70.60,1,static,0x0065B09D|0x02195587|0x02D1FC23
0x98B76A82,,,0,103,0,103,103,0,0,3,7,5.93,1,break_piece|intact,0x0065B09D|0x02195587|0x0307555E
0x3846CB35,bone_attach_backright,rainbow,1,102,0,0,102,592,76,1,6,0.03,1,static,0x03C70F0A|0x07B30024|0x07FC456B
0xDF2D0826,bone_attach_backleft,rainbow,1,102,0,0,101,592,76,1,6,0.03,1,static,0x03C70F0A|0x07B30024|0x07FC456B
0x38660D52,bone_wheel_rr,rainbow,1,101,0,0,6,3,1,3,5,1.82,1,break_piece|intact,0x0065B09D|0x02195587|0x0307555E
0x389C274C,bone_wheel_rl,rainbow,1,101,0,0,6,3,1,3,5,1.82,1,break_piece|intact,0x0065B09D|0x02195587|0x0307555E
0xD871B369,,,0,101,0,101,101,0,0,3,7,4.77,1,break_piece|intact,0x0065B09D|0x02195587|0x0307555E
0xFA92EE23,,,0,101,0,101,101,0,0,3,7,4.77,1,break_piece|intact,0x0065B09D|0x02195587|0x0307555E
0xBD7008F2,slice1a_propattach00,rainbow,1,100,0,0,0,0,0,3,3,0.03,1,break_piece|intact,0x06D5DB5A|0x0859EA8A|0x086666D2
0xCC5594BD,slice1a_propattach00_pristine,rainbow,1,100,0,100,54,0,0,4,4,93.00,1,break_piece|intact,0x06D5DB5A|0x0859EA8A|0x086666D2
0x1C2E8837,bone_attach_hipright,rainbow,1,99,0,0,101,261,34,1,4,0.03,1,static,0x03C70F0A|0x07B30024|0x07FC456B
0x629B2990,bone_attach_hipleft,rainbow,1,99,0,0,98,261,34,1,4,0.03,1,static,0x03C70F0A|0x07B30024|0x07FC456B
0xA641DAE1,,,0,99,0,99,89,0,0,2,4,22.80,1,break_piece|intact,0x0307555E|0x07B982D6|0x080D83D1
0x26CA2A92,piece1a_propdebris20,rainbow,1,97,0,97,96,0,0,2,3,26.04,1,break_piece|intact,0x019FE5AE|0x056B331D|0x05ED45FC
0xCF72A7E9,piece1a_propattach00_pristine,rainbow,1,97,0,97,44,0,0,4,5,16.45,1,break_piece|intact,0x0077334E|0x00978EE4|0x0189C80A
0xF59F79C6,piece1a_propattach00,rainbow,1,97,0,0,0,0,0,3,4,0.03,1,break_piece|intact,0x0077334E|0x00978EE4|0x0189C80A
0x94F6BFFE,bone_wheel_fr,rainbow,1,96,0,0,2,3,1,4,5,1.36,1,break_piece|intact,0x0065B09D|0x02195587|0x0307555E
0x35415D90,bone_wheel_fl,rainbow,1,95,0,0,1,3,1,4,5,1.36,1,break_piece|intact,0x0065B09D|0x02195587|0x0307555E
0x8C1E881E,bone_hub_fr,rainbow,1,95,0,0,0,3,1,3,4,0.86,1,break_piece|intact,0x0065B09D|0x02195587|0x0307555E
0xAC685C30,bone_hub_fl,rainbow,1,95,0,0,0,3,1,3,4,0.86,1,break_piece|intact,0x0065B09D|0x02195587|0x0307555E
0xAF8D0BF2,bone_hub_rr,rainbow,1,95,0,0,1,3,1,3,4,4.81,1,break_piece|intact,0x0065B09D|0x02195587|0x0307555E
0x2FC3EF6C,bone_hub_rl,rainbow,1,94,0,0,0,3,1,3,4,0.70,1,break_piece|intact,0x0065B09D|0x02195587|0x0307555E
0xB2BB48FC,bone_jaw,rainbow,1,93,2,0,2,8,6,0,8,0.10,1,static,0x03C70F0A|0x07B30024|0x07FC456B
0x07607CCE,bone_mouth_corner_right,rainbow,1,91,0,0,90,8,6,1,8,0.03,1,static,0x03C70F0A|0x07B30024|0x07FC456B
0x0A1CF9F9,bone_mouth_top_left,rainbow,1,91,0,0,90,8,6,1,8,0.03,1,static,0x03C70F0A|0x07B30024|0x07FC456B
0x2FC9942F,bone_mouth_corner_left,rainbow,1,91,0,0,91,8,6,1,8,0.03,1,static,0x03C70F0A|0x07B30024|0x07FC456B
0x30103344,bone_cheek_left,rainbow,1,91,0,0,90,8,6,1,8,0.03,1,static,0x03C70F0A|0x07B30024|0x07FC456B
0x3E776EB4,bone_tongue_tip,rainbow,1,91,1,0,93,8,6,0,9,0.03,1,static,0x03C70F0A|0x07B30024|0x07FC456B
0x52CD1E0C,bone_nose_right,rainbow,1,91,1,0,91,8,6,0,8,0.03,1,static,0x03C70F0A|0x07B30024|0x07FC456B
0x572ADCB8,bone_mouth_bottom_right,rainbow,1,91,0,0,90,8,6,1,9,0.03,1,static,0x03C70F0A|0x07B30024|0x07FC456B
0x6DE365F5,bone_eyebrow_left,rainbow,1,91,0,0,90,8,6,1,8,0.03,1,static,0x03C70F0A|0x07B30024|0x07FC456B
0x88D26F3C,bone_eyelid_top_left,rainbow,1,91,0,0,90,8,6,1,8,0.03,1,static,0x03C70F0A|0x07B30024|0x07FC456B
0x9AB50943,bone_cheek_right,rainbow,1,91,0,0,90,8,6,1,8,0.03,1,static,0x03C70F0A|0x07B30024|0x07FC456B
0xA16DF454,bone_eyebrow_right,rainbow,1,91,0,0,90,8,6,1,8,0.03,1,static,0x03C70F0A|0x07B30024|0x07FC456B
0xA86FE57B,bone_eyelid_top_right,rainbow,1,91,0,0,90,8,6,1,8,0.03,1,static,0x03C70F0A|0x07B30024|0x07FC456B
0xB061703D,bone_eyebrow_center,rainbow,1,91,0,0,90,8,6,1,8,0.03,1,static,0x03C70F0A|0x07B30024|0x07FC456B
0xB308786D,bone_nose_left,rainbow,1,91,0,0,90,8,6,1,8,0.03,1,static,0x03C70F0A|0x07B30024|0x07FC456B
0xB98D69C9,bone_eyeball_right,rainbow,1,91,0,0,90,8,6,1,8,0.05,1,static,0x03C70F0A|0x07B30024|0x07FC456B
0xC65682D2,bone_eyeball_left,rainbow,1,91,0,0,90,8,6,1,8,0.05,1,static,0x03C70F0A|0x07B30024|0x07FC456B
0xC98F0F51,bone_mouth_bottom_left,rainbow,1,91,2,0,91,8,6,0,9,0.03,1,static,0x03C70F0A|0x07B30024|0x07FC456B
0xCF6D1860,bone_mouth_top_right,rainbow,1,91,0,0,90,8,6,1,8,0.03,1,static,0x03C70F0A|0x07B30024|0x07FC456B
0xD5864118,bone_brow_center,rainbow,1,91,0,0,91,8,6,1,8,0.03,1,static,0x03C70F0A|0x07B30024|0x07FC456B
0xB2C8BB5D,slice1b_ruin,rainbow,1,89,0,89,54,0,0,2,2,87.66,0,break_piece|intact,0x0499A0F1|0x0859EA8A|0x086666D2
0x712FB5D7,,,0,85,85,0,85,0,0,0,0,18118925128564736.00,0,,0x0042E9B3|0x02776826|0x05F3A51C
0x063C61D3,,,0,84,0,84,84,0,0,2,4,10.23,1,break_piece|intact,0x0307555E|0x044EDB9C|0x07B982D6
0xB84640BD,slice1a_propdebris01,rainbow,1,82,0,82,81,0,0,3,4,15.95,1,break_piece|intact,0x036E4F11|0x06D5DB5A|0x0859EA8A
0x962C4871,,,0,81,0,0,6,44,4,3,5,2.67,1,break_piece|intact,0x0065B09D|0x02195587|0x0E9502CF
0x3DF5A3EF,,,0,81,0,0,6,5,1,3,5,2.67,1,break_piece|intact,0x0065B09D|0x02195587|0x0E9502CF
0x52385AE5,,,0,81,0,0,81,0,0,5,6,0.03,1,break_piece|intact,0x00978EE4|0x04549112|0x05D62268
0x715F5613,,,0,81,0,0,0,0,0,3,4,0.03,1,break_piece,0x0065B09D|0x02195587|0x0E9502CF
0xB1486EF3,hp_barreltip_a,rainbow,1,80,0,0,84,0,0,1,11,0.03,1,break_piece|intact|static,0x006243A4|0x00E01065|0x0307555E
0x48CC9EAF,piece1a_propdebris21,rainbow,1,79,0,79,79,0,0,2,3,20.27,1,break_piece|intact,0x056B331D|0x05ED45FC|0x06B7DF09
0x4E435B48,slice1a_propdebris00,rainbow,1,79,0,79,77,0,0,3,4,18.11,1,break_piece|intact,0x036E4F11|0x06D5DB5A|0x086666D2
0x0BFB95AC,hp_dock_rr,rainbow,1,77,0,0,76,0,0,3,4,0.03,1,break_piece|intact,0x0065B09D|0x02D1FC23|0x0307555E
0xDB205EF6,,,0,77,0,0,77,0,0,2,3,0.03,1,break_piece|intact,0x036E4F11|0x0499A0F1|0x09E169B3
0x51C22F6C,,,0,76,0,0,76,0,0,3,3,0.03,1,break_piece|intact,0x00978EE4|0x0499A0F1|0x06D5DB5A
0x899E3B08,hp_fx_light1,rainbow,1,76,0,0,76,0,0,1,5,0.18,1,break_piece|intact,0x020E5BB4|0x04549112|0x07135D3C
0x4205CFD0,,,0,75,0,75,75,0,0,5,6,3.22,1,break_piece|intact,0x0065B09D|0x02195587|0x0E9502CF
0x46A08F9E,slice1a_propattach01_pristine,rainbow,1,75,0,75,42,0,0,4,4,53.21,1,break_piece|intact,0x0859EA8A|0x086666D2|0x140400C1
0x913633E4,,,0,75,0,75,69,0,0,5,6,3.23,1,break_piece|intact,0x0065B09D|0x02195587|0x0E9502CF
0xA529917E,,,0,75,0,75,69,0,0,5,6,3.23,1,break_piece|intact,0x0065B09D|0x02195587|0x0E9502CF
0xDD2E46E2,,,0,75,0,75,75,0,0,5,6,3.23,0,break_piece|intact,0x0065B09D|0x02195587|0x0E9502CF
0xDF727D0F,slice1a_propattach01,rainbow,1,75,0,0,0,0,0,3,3,0.03,1,break_piece|intact,0x0859EA8A|0x086666D2|0x140400C1
0x0CA1E5DC,,,0,72,0,72,39,0,0,5,6,3.09,1,break_piece|intact,0x02195587|0x0E9502CF|0x0F9B9B04
0x14886128,village_bld_farming03_gyxbb5,rainbow,1,72,0,0,85,0,0,1,3,0.03,1,break_piece|intact|static,0x05D62268|0x06D5DB5A|0x086666D2
0x89EA902A,,,0,72,0,72,72,0,0,5,6,3.48,1,break_piece|intact,0x02195587|0x0E9502CF|0x0F9B9B04
0xD14291B9,,,0,72,0,0,0,0,0,4,5,0.03,1,break_piece,0x02195587|0x0E9502CF|0x0F9B9B04
0x363EB852,slice1a_propdebris02,rainbow,1,71,0,71,70,0,0,3,4,8.36,1,break_piece|intact,0x09E169B3|0x0A6269EA|0x13BFAF0E
0x2E048617,slice1b_propattach00,rainbow,1,70,0,0,0,0,0,3,4,0.03,1,break_piece|intact,0x06D5DB5A|0x0859EA8A|0x086666D2
0xBCF01D36,slice1b_propattach00_pristine,rainbow,1,70,0,70,33,0,0,4,5,18.92,1,break_piece|intact,0x06D5DB5A|0x0859EA8A|0x086666D2
0x3ECECD88,piece1a_propdebris22,rainbow,1,69,0,69,69,0,0,3,3,14.53,1,break_piece|intact,0x056B331D|0x06B7DF09|0x1923143C
0x5382B35E,,,0,69,0,0,71,0,0,1,3,0.03,1,break_piece|intact|static,0x04CC21CD|0x14400F0B|0x149FC407
0xF17F52EC,slice1b_propdebris01,rainbow,1,69,0,69,69,0,0,3,5,13.26,1,break_piece|intact,0x036E4F11|0x06D5DB5A|0x0A6269EA
0x8BC4B232,hp_dock_rl,rainbow,1,68,0,0,68,0,0,3,5,0.03,1,break_piece|intact,0x0065B09D|0x02D1FC23|0x0307555E
0xB38E2FF0,,,0,68,0,0,70,0,0,1,5,0.03,1,break_piece|intact,0x036E4F11|0x04549112|0x04CC21CD
0xEB818811,slice1b_propdebris00,rainbow,1,66,0,66,65,0,0,3,5,6.93,1,break_piece|intact,0x036E4F11|0x06D5DB5A|0x0A6269EA
