model,node_idx,hash,parent,depth,wx,wy,wz,leaf,in_swit
0x2EF7E3C3,26,0xEB6F1B2D,0xBEFC09A2,8,0.4353,0.9890,0.0200,0,0
0x2EF7E3C3,27,0xFA761573,0xEB6F1B2D,9,0.4560,0.8943,0.0356,1,0
0x2EF7E3C3,28,0xA6221FBB,0xEB6F1B2D,9,0.4817,0.8978,0.0675,0,0
0x2EF7E3C3,29,0x8C243564,0xA6221FBB,10,0.4938,0.8622,0.0811,0,0
0x2EF7E3C3,30,0xA6269CE9,0x8C243564,11,0.4904,0.8391,0.0877,1,0
0x2EF7E3C3,31,0x7F5D343E,0xEB6F1B2D,9,0.4875,0.8942,0.0452,0,0
0x2EF7E3C3,32,0x2164EF09,0x7F5D343E,10,0.5014,0.8505,0.0495,0,0
0x2EF7E3C3,33,0x07628784,0x2164EF09,11,0.4975,0.8278,0.0490,1,0
0x2EF7E3C3,34,0x1CE73684,0xEB6F1B2D,9,0.4833,0.8990,-0.0008,0,0
0x2EF7E3C3,35,0xB6E4575B,0x1CE73684,10,0.4891,0.8696,-0.0145,0,0
0x2EF7E3C3,36,0x94E1E33E,0xB6E4575B,11,0.4838,0.8538,-0.0206,1,0
0x2EF7E3C3,37,0xCA0061A5,0xEB6F1B2D,9,0.4883,0.8940,0.0209,0,0
0x2EF7E3C3,38,0x67F90B9A,0xCA0061A5,10,0.4917,0.8563,0.0145,0,0
0x2EF7E3C3,39,0x49FB1AF7,0x67F90B9A,11,0.4884,0.8343,0.0106,1,0
0x2EF7E3C3,40,0x0CC71F3F,0xEB6F1B2D,9,0.4432,0.9706,0.0458,0,0
0x2EF7E3C3,41,0x02C94E18,0x0CC71F3F,10,0.4350,0.9513,0.0845,0,0
0x2EF7E3C3,42,0x2CCBCECD,0x02C94E18,11,0.4294,0.9212,0.1141,1,0
0x2EF7E3C3,43,0xBA8CA3A8,0x4C7733ED,5,-0.0630,1.5243,-0.0592,0,0
0x2EF7E3C3,44,0x20F635D9,0xBA8CA3A8,6,-0.1754,1.4530,-0.0666,0,0
0x2EF7E3C3,45,0x23F6F598,0x20F635D9,7,-0.3091,1.2032,-0.0494,0,0
0x2EF7E3C3,46,0x328C1F25,0x23F6F598,8,-0.3933,1.0604,-0.0032,1,0
0x2EF7E3C3,47,0xD34F7713,0x23F6F598,8,-0.4354,0.9890,0.0200,0,0
0x2EF7E3C3,48,0xF450ED0D,0xD34F7713,9,-0.4555,0.8939,0.0357,1,0
0x2EF7E3C3,49,0xE1BB4731,0xD34F7713,9,-0.4817,0.8978,0.0675,0,0
0x2EF7E3C3,50,0x5FB3BEC6,0xE1BB4731,10,-0.4938,0.8622,0.0811,0,0
0x2EF7E3C3,51,0x81B632E3,0x5FB3BEC6,11,-0.4904,0.8391,0.0877,1,0
0x2EF7E3C3,52,0x8DEFBC44,0xD34F7713,9,-0.4875,0.8942,0.0452,0,0
0x2EF7E3C3,53,0x27ECDD1B,0x8DEFBC44,10,-0.5014,0.8505,0.0495,0,0
0x2EF7E3C3,54,0x05EA68FE,0x27ECDD1B,11,-0.4975,0.8278,0.0490,1,0
0x2EF7E3C3,55,0x54C6C05E,0xD34F7713,9,-0.4833,0.8990,-0.0008,0,0
0x2EF7E3C3,56,0x76CDB1A9,0x54C6C05E,10,-0.4891,0.8696,-0.0145,0,0
0x2EF7E3C3,57,0x5CCB4A24,0x76CDB1A9,11,-0.4838,0.8538,-0.0206,1,0
0x2EF7E3C3,58,0x248E1087,0xD34F7713,9,-0.4883,0.8940,0.0209,0,0
0x2EF7E3C3,59,0xFA900D00,0x248E1087,10,-0.4917,0.8563,0.0145,0,0
0x2EF7E3C3,60,0x24928DB5,0xFA900D00,11,-0.4884,0.8343,0.0106,1,0
0x2EF7E3C3,61,0x163F93BD,0xD34F7713,9,-0.4432,0.9706,0.0458,0,0
0x2EF7E3C3,62,0x94380B52,0x163F93BD,10,-0.4350,0.9513,0.0845,0,0
0x2EF7E3C3,63,0xB63A7F6F,0x94380B52,11,-0.4294,0.9212,0.1141,1,0
0x2EF7E3C3,64,0x2C87E886,0xCBC1EB51,1,0.0000,0.0000,0.0000,1,1
0x2EF7E3C3,65,0x4E8A5CA3,0xCBC1EB51,1,0.0000,0.0000,0.0000,1,1
0x2EF7E3C3,66,0xCC965BF0,0xCBC1EB51,1,0.0000,0.0000,0.0000,1,1
0x2EF7E3C3,67,0x36994165,0xCBC1EB51,1,0.0000,0.0000,0.0000,1,1
0x2EF7E3C3,68,0xD491EB5A,0xCBC1EB51,1,0.0000,0.0000,0.0000,1,1
0x2EF7E3C3,69,0xD3D6CB62,0xCBC1EB51,1,0.0000,0.0000,0.0000,1,1
0x2EF7E3C3,70,0x7AEC1F91,0xCBC1EB51,1,0.0000,0.0000,0.0000,1,1
0x75DB90E0,0,0x75DB90E0,,0,0.0000,0.0000,0.0000,0,0
0x75DB90E0,1,0xFAD780B2,0x75DB90E0,1,0.0000,0.0000,0.0000,1,0
0x2703554F,0,0xCBC1EB51,,0,0.0000,0.0000,0.0000,0,0
0x2703554F,1,0x31DB4F50,0xCBC1EB51,1,0.0000,0.0000,0.0000,1,0
0x2703554F,2,0xFAEFB386,0xCBC1EB51,1,0.0000,1.0648,-0.0250,0,0
0x2703554F,3,0x24C5009C,0xFAEFB386,2,0.0000,1.0648,-0.0250,0,0
0x2703554F,4,0x76853D12,0x24C5009C,3,0.0859,0.9622,0.0025,0,0
0x2703554F,5,0xA76C9842,0x76853D12,4,0.1699,0.4920,0.0147,0,0
0x2703554F,6,0x1226F58D,0xA76C9842,5,0.2171,0.1187,-0.0543,0,0
0x2703554F,7,0x901F6D22,0x1226F58D,6,0.2448,0.0242,0.0612,1,0
0x2703554F,8,0xC2299AC4,0x24C5009C,3,-0.0859,0.9622,0.0025,0,0
0x2703554F,9,0x0163705C,0xC2299AC4,4,-0.1700,0.4920,0.0147,0,0
0x2703554F,10,0x3120671B,0x0163705C,5,-0.2171,0.1187,-0.0543,0,0
0x2703554F,11,0x97234644,0x3120671B,6,-0.2448,0.0242,0.0612,1,0
0x2703554F,12,0x5CA49BD8,0xFAEFB386,2,0.0000,1.0648,-0.0250,0,0
0x2703554F,13,0x66A26CFF,0x5CA49BD8,3,-0.0000,1.1485,-0.0347,0,0
0x2703554F,14,0x4C7733ED,0x66A26CFF,4,-0.0000,1.2325,-0.0295,0,0
0x2703554F,15,0xA6EFDD4F,0x4C7733ED,5,0.0000,1.2498,0.1388,1,0
0x2703554F,16,0xC187105B,0x4C7733ED,5,-0.0000,1.5470,-0.0528,0,0
0x2703554F,17,0x705C4508,0xC187105B,6,-0.0000,1.6585,-0.0362,1,0
0x2703554F,18,0xA3A5094A,0x4C7733ED,5,0.0630,1.5243,-0.0592,0,0
0x2703554F,19,0xB2C9CE63,0xA3A5094A,6,0.1754,1.4530,-0.0666,0,0
0x2703554F,20,0xBEFC09A2,0xB2C9CE63,7,0.3091,1.2032,-0.0494,0,0
0x2703554F,21,0x03719EEF,0xBEFC09A2,8,0.3933,1.0604,-0.0032,1,0
0x2703554F,22,0xEB6F1B2D,0xBEFC09A2,8,0.4353,0.9890,0.0200,0,0
0x2703554F,23,0xFA761573,0xEB6F1B2D,9,0.4560,0.8943,0.0356,1,0
0x2703554F,24,0xA6221FBB,0xEB6F1B2D,9,0.4817,0.8978,0.0675,0,0
0x2703554F,25,0x8C243564,0xA6221FBB,10,0.4938,0.8622,0.0811,0,0
0x2703554F,26,0xA6269CE9,0x8C243564,11,0.4904,0.8391,0.0877,1,0
0x2703554F,27,0x7F5D343E,0xEB6F1B2D,9,0.4875,0.8942,0.0452,0,0
0x2703554F,28,0x2164EF09,0x7F5D343E,10,0.5014,0.8505,0.0495,0,0
0x2703554F,29,0x07628784,0x2164EF09,11,0.4975,0.8278,0.0490,1,0
0x2703554F,30,0x1CE73684,0xEB6F1B2D,9,0.4833,0.8990,-0.0008,0,0
0x2703554F,31,0xB6E4575B,0x1CE73684,10,0.4891,0.8696,-0.0145,0,0
0x2703554F,32,0x94E1E33E,0xB6E4575B,11,0.4838,0.8538,-0.0206,1,0
0x2703554F,33,0xCA0061A5,0xEB6F1B2D,9,0.4883,0.8940,0.0209,0,0
0x2703554F,34,0x67F90B9A,0xCA0061A5,10,0.4917,0.8563,0.0145,0,0
0x2703554F,35,0x49FB1AF7,0x67F90B9A,11,0.4884,0.8343,0.0106,1,0
0x2703554F,36,0x0CC71F3F,0xEB6F1B2D,9,0.4432,0.9706,0.0458,0,0
0x2703554F,37,0x02C94E18,0x0CC71F3F,10,0.4350,0.9513,0.0845,0,0
0x2703554F,38,0x2CCBCECD,0x02C94E18,11,0.4294,0.9212,0.1141,1,0
0x2703554F,39,0xBA8CA3A8,0x4C7733ED,5,-0.0630,1.5243,-0.0592,0,0
0x2703554F,40,0x20F635D9,0xBA8CA3A8,6,-0.1754,1.4530,-0.0666,0,0
0x2703554F,41,0x23F6F598,0x20F635D9,7,-0.3091,1.2032,-0.0494,0,0
0x2703554F,42,0x328C1F25,0x23F6F598,8,-0.3933,1.0604,-0.0032,1,0
0x2703554F,43,0xD34F7713,0x23F6F598,8,-0.4353,0.9890,0.0200,0,0
0x2703554F,44,0xF450ED0D,0xD34F7713,9,-0.4555,0.8939,0.0357,1,0
0x2703554F,45,0xE1BB4731,0xD34F7713,9,-0.4817,0.8978,0.0675,0,0
0x2703554F,46,0x5FB3BEC6,0xE1BB4731,10,-0.4938,0.8622,0.0811,0,0
0x2703554F,47,0x81B632E3,0x5FB3BEC6,11,-0.4904,0.8391,0.0877,1,0
0x2703554F,48,0x8DEFBC44,0xD34F7713,9,-0.4875,0.8942,0.0452,0,0
0x2703554F,49,0x27ECDD1B,0x8DEFBC44,10,-0.5014,0.8505,0.0495,0,0
0x2703554F,50,0x05EA68FE,0x27ECDD1B,11,-0.4975,0.8278,0.0490,1,0
0x2703554F,51,0x54C6C05E,0xD34F7713,9,-0.4833,0.8990,-0.0008,0,0
0x2703554F,52,0x76CDB1A9,0x54C6C05E,10,-0.4891,0.8696,-0.0145,0,0
0x2703554F,53,0x5CCB4A24,0x76CDB1A9,11,-0.4838,0.8538,-0.0206,1,0
0x2703554F,54,0x248E1087,0xD34F7713,9,-0.4883,0.8940,0.0209,0,0
0x2703554F,55,0xFA900D00,0x248E1087,10,-0.4917,0.8563,0.0145,0,0
0x2703554F,56,0x24928DB5,0xFA900D00,11,-0.4884,0.8343,0.0106,1,0
0x2703554F,57,0x163F93BD,0xD34F7713,9,-0.4432,0.9706,0.0458,0,0
0x2703554F,58,0x94380B52,0x163F93BD,10,-0.4350,0.9513,0.0845,0,0
0x2703554F,59,0xB63A7F6F,0x94380B52,11,-0.4294,0.9212,0.1141,1,0
0x2703554F,60,0xBF4AAD1B,0x24C5009C,3,-0.1748,1.0904,-0.0250,1,0
0x2703554F,61,0xA60978DC,0x24C5009C,3,0.1748,1.0904,-0.0250,1,0
0x2703554F,62,0x1627E091,0x4C7733ED,5,-0.0844,1.3958,-0.1865,1,0
0x2703554F,63,0x84FDD93A,0x4C7733ED,5,0.0844,1.3958,-0.1865,1,0
0x2703554F,64,0x94A63B87,0xCBC1EB51,1,0.0000,0.0000,0.0000,1,1
0x2703554F,65,0x6AA83800,0xCBC1EB51,1,0.0000,0.0000,0.0000,1,1
0x2703554F,66,0x94AAB8B5,0xCBC1EB51,1,0.0000,0.0000,0.0000,1,1
0x2703554F,67,0x8A995FD6,0xCBC1EB51,1,0.0000,0.0000,0.0000,1,1
0x2703554F,68,0xEC9C38B3,0xCBC1EB51,1,0.0000,0.0000,0.0000,1,1
0x2703554F,69,0x129EB31C,0xCBC1EB51,1,0.0000,0.0000,0.0000,1,1
0x2703554F,70,0x263D6C42,0xCBC1EB51,1,0.0000,0.0000,0.0000,1,1
0x2703554F,71,0xA844F4AD,0xCBC1EB51,1,0.0000,0.0000,0.0000,1,1
0x2703554F,72,0x7E4273F8,0xCBC1EB51,1,0.0000,0.0000,0.0000,1,1
0x2703554F,73,0x8035AB2B,0xCBC1EB51,1,0.0000,0.0000,0.0000,1,1
0x2703554F,74,0x9E339BCE,0xCBC1EB51,1,0.0000,0.0000,0.0000,1,1
0x2703554F,75,0x003AF1D9,0xCBC1EB51,1,0.0000,0.0000,0.0000,1,1
0x2703554F,76,0x6ED01573,0xCBC1EB51,1,0.0000,0.0000,0.0000,1,1
0x2703554F,77,0x94D28FDC,0xCBC1EB51,1,0.0000,0.0000,0.0000,1,1
0x2703554F,78,0x8ED4C501,0xCBC1EB51,1,0.0000,0.0000,0.0000,1,1
0x2703554F,79,0xF4D7A42A,0xCBC1EB51,1,0.0000,0.0000,0.0000,1,1
0x2703554F,80,0x16DA1847,0xCBC1EB51,1,0.0000,0.0000,0.0000,1,1
0x2703554F,81,0xECDC14C0,0xCBC1EB51,1,0.0000,0.0000,0.0000,1,1
0x60A4EEF3,0,0xCBC1EB51,,0,0.0000,0.0000,0.0000,0,0
0x60A4EEF3,1,0x31DB4F50,0xCBC1EB51,1,0.0000,0.0000,0.0000,1,0
0x60A4EEF3,2,0xFAEFB386,0xCBC1EB51,1,0.0000,1.0648,-0.0250,0,0
0x60A4EEF3,3,0x24C5009C,0xFAEFB386,2,0.0000,1.0648,-0.0250,0,0
0x60A4EEF3,4,0x1C2E8837,0x24C5009C,3,-0.1748,1.0904,-0.0250,1,0
0x60A4EEF3,5,0x629B2990,0x24C5009C,3,0.1748,1.0904,-0.0250,1,0
0x60A4EEF3,6,0x76853D12,0x24C5009C,3,0.0859,0.9622,0.0025,0,0
0x60A4EEF3,7,0xA76C9842,0x76853D12,4,0.1699,0.4920,0.0147,0,0
0x60A4EEF3,8,0x1226F58D,0xA76C9842,5,0.2171,0.1187,-0.0543,0,0
0x60A4EEF3,9,0x901F6D22,0x1226F58D,6,0.2448,0.0242,0.0612,1,0
0x60A4EEF3,10,0xC2299AC4,0x24C5009C,3,-0.0859,0.9622,0.0025,0,0
0x60A4EEF3,11,0x0163705C,0xC2299AC4,4,-0.1700,0.4920,0.0147,0,0
0x60A4EEF3,12,0x3120671B,0x0163705C,5,-0.2171,0.1187,-0.0543,0,0
0x60A4EEF3,13,0x97234644,0x3120671B,6,-0.2448,0.0242,0.0612,1,0
0x60A4EEF3,14,0x5CA49BD8,0xFAEFB386,2,0.0000,1.0648,-0.0250,0,0
0x60A4EEF3,15,0x66A26CFF,0x5CA49BD8,3,-0.0000,1.1485,-0.0347,0,0
0x60A4EEF3,16,0x4C7733ED,0x66A26CFF,4,-0.0000,1.2325,-0.0295,0,0
0x60A4EEF3,17,0x3846CB35,0x4C7733ED,5,-0.0844,1.3958,-0.1865,1,0
0x60A4EEF3,18,0xDF2D0826,0x4C7733ED,5,0.0844,1.3958,-0.1865,1,0
0x60A4EEF3,19,0xA6EFDD4F,0x4C7733ED,5,0.0000,1.2498,0.1388,1,0
0x60A4EEF3,20,0xC187105B,0x4C7733ED,5,-0.0000,1.5470,-0.0528,0,0
0x60A4EEF3,21,0x705C4508,0xC187105B,6,-0.0000,1.6585,-0.0362,0,0
0x60A4EEF3,22,0x52CD1E0C,0x705C4508,7,-0.0171,1.6652,0.0622,1,0
0x60A4EEF3,23,0xB308786D,0x705C4508,7,0.0171,1.6652,0.0622,1,0
0x60A4EEF3,24,0xCF6D1860,0x705C4508,7,-0.0118,1.6417,0.0755,1,0
0x60A4EEF3,25,0x0A1CF9F9,0x705C4508,7,0.0118,1.6417,0.0755,1,0
0x60A4EEF3,26,0x07607CCE,0x705C4508,7,-0.0218,1.6342,0.0594,1,0
0x60A4EEF3,27,0x2FC9942F,0x705C4508,7,0.0217,1.6342,0.0594,1,0
0x60A4EEF3,28,0xA86FE57B,0x705C4508,7,-0.0305,1.7082,0.0569,1,0
0x60A4EEF3,29,0x88D26F3C,0x705C4508,7,0.0305,1.7081,0.0568,1,0
0x60A4EEF3,30,0xA16DF454,0x705C4508,7,-0.0399,1.7199,0.0606,1,0
0x60A4EEF3,31,0x6DE365F5,0x705C4508,7,0.0399,1.7199,0.0606,1,0
0x60A4EEF3,32,0xB061703D,0x705C4508,7,0.0000,1.7140,0.0698,1,0
0x60A4EEF3,33,0xB98D69C9,0x705C4508,7,-0.0305,1.7021,0.0440,1,0
0x60A4EEF3,34,0xC65682D2,0x705C4508,7,0.0305,1.7021,0.0440,1,0
0x60A4EEF3,35,0x30103344,0x705C4508,7,0.0464,1.6812,0.0497,1,0
0x60A4EEF3,36,0x9AB50943,0x705C4508,7,-0.0464,1.6812,0.0497,1,0
0x60A4EEF3,37,0xD5864118,0x705C4508,7,0.0000,1.7537,0.0636,1,0
0x60A4EEF3,38,0xB2BB48FC,0x705C4508,7,-0.0001,1.6585,-0.0152,0,0
0x60A4EEF3,39,0x3E776EB4,0xB2BB48FC,8,-0.0000,1.6309,0.0413,1,0
0x60A4EEF3,40,0x572ADCB8,0xB2BB48FC,8,-0.0092,1.6321,0.0710,1,0
0x60A4EEF3,41,0xC98F0F51,0xB2BB48FC,8,0.0091,1.6321,0.0710,1,0
0x60A4EEF3,42,0xA3A5094A,0x4C7733ED,5,0.0630,1.5243,-0.0592,0,0
0x60A4EEF3,43,0xB2C9CE63,0xA3A5094A,6,0.1583,1.4639,-0.0655,0,0
0x60A4EEF3,44,0xBEFC09A2,0xB2C9CE63,7,0.2920,1.2140,-0.0483,0,0
0x60A4EEF3,45,0x03719EEF,0xBEFC09A2,8,0.3762,1.0713,-0.0020,1,0
0x60A4EEF3,46,0xEB6F1B2D,0xBEFC09A2,8,0.4183,0.9999,0.0211,0,0
0x60A4EEF3,47,0xFA761573,0xEB6F1B2D,9,0.4422,0.9060,0.0369,1,0
0x60A4EEF3,48,0xA6221FBB,0xEB6F1B2D,9,0.4679,0.9104,0.0686,0,0
0x60A4EEF3,49,0x8C243564,0xA6221FBB,10,0.4814,0.8753,0.0823,0,0
0x60A4EEF3,50,0xA6269CE9,0x8C243564,11,0.4787,0.8521,0.0889,1,0
0x60A4EEF3,51,0x7F5D343E,0xEB6F1B2D,9,0.4738,0.9070,0.0463,0,0
0x60A4EEF3,52,0x2164EF09,0x7F5D343E,10,0.4892,0.8638,0.0506,0,0
0x60A4EEF3,53,0x07628784,0x2164EF09,11,0.4861,0.8410,0.0502,1,0
0x60A4EEF3,54,0x1CE73684,0xEB6F1B2D,9,0.4692,0.9115,0.0003,0,0
0x60A4EEF3,55,0xB6E4575B,0x1CE73684,10,0.4759,0.8823,-0.0134,0,0
0x60A4EEF3,56,0x94E1E33E,0xB6E4575B,11,0.4711,0.8664,-0.0194,1,0
0x60A4EEF3,57,0xCA0061A5,0xEB6F1B2D,9,0.4744,0.9067,0.0219,0,0
0x60A4EEF3,58,0x67F90B9A,0xCA0061A5,10,0.4791,0.8692,0.0157,0,0
0x60A4EEF3,59,0x49FB1AF7,0x67F90B9A,11,0.4766,0.8471,0.0118,1,0
0x60A4EEF3,60,0x0CC71F3F,0xEB6F1B2D,9,0.4268,0.9818,0.0470,0,0
0x60A4EEF3,61,0x02C94E18,0x0CC71F3F,10,0.4196,0.9623,0.0857,0,0
0x60A4EEF3,62,0x2CCBCECD,0x02C94E18,11,0.4151,0.9321,0.1154,1,0
0x60A4EEF3,63,0xBA8CA3A8,0x4C7733ED,5,-0.0630,1.5243,-0.0592,0,0
0x60A4EEF3,64,0x20F635D9,0xBA8CA3A8,6,-0.1583,1.4639,-0.0655,0,0
0x60A4EEF3,65,0x23F6F598,0x20F635D9,7,-0.2920,1.2140,-0.0483,0,0
0x60A4EEF3,66,0x328C1F25,0x23F6F598,8,-0.3762,1.0713,-0.0020,1,0
0x60A4EEF3,67,0xD34F7713,0x23F6F598,8,-0.4183,0.9999,0.0211,0,0
0x60A4EEF3,68,0xF450ED0D,0xD34F7713,9,-0.4407,0.9052,0.0369,1,0
0x60A4EEF3,69,0xE1BB4731,0xD34F7713,9,-0.4669,0.9099,0.0686,0,0
0x60A4EEF3,70,0x5FB3BEC6,0xE1BB4731,10,-0.4799,0.8745,0.0823,0,0
0x60A4EEF3,71,0x81B632E3,0x5FB3BEC6,11,-0.4770,0.8514,0.0888,1,0
0x60A4EEF3,72,0x8DEFBC44,0xD34F7713,9,-0.4727,0.9064,0.0463,0,0
0x60A4EEF3,73,0x27ECDD1B,0x8DEFBC44,10,-0.4877,0.8630,0.0506,0,0
0x60A4EEF3,74,0x05EA68FE,0x27ECDD1B,11,-0.4843,0.8403,0.0502,1,0
0x60A4EEF3,75,0x54C6C05E,0xD34F7713,9,-0.4682,0.9110,0.0003,0,0
0x60A4EEF3,76,0x76CDB1A9,0x54C6C05E,10,-0.4747,0.8818,-0.0134,0,0
0x60A4EEF3,77,0x5CCB4A24,0x76CDB1A9,11,-0.4697,0.8658,-0.0195,1,0
0x60A4EEF3,78,0x248E1087,0xD34F7713,9,-0.4734,0.9061,0.0219,0,0
0x60A4EEF3,79,0xFA900D00,0x248E1087,10,-0.4777,0.8686,0.0157,0,0
0x60A4EEF3,80,0x24928DB5,0xFA900D00,11,-0.4749,0.8465,0.0118,1,0
0x60A4EEF3,81,0x163F93BD,0xD34F7713,9,-0.4266,0.9817,0.0470,0,0
0x60A4EEF3,82,0x94380B52,0x163F93BD,10,-0.4190,0.9623,0.0857,0,0
0x60A4EEF3,83,0xB63A7F6F,0x94380B52,11,-0.4142,0.9321,0.1153,1,0
0x60A4EEF3,84,0xF030D2B3,0xCBC1EB51,1,0.0000,0.0000,0.0000,1,1
0x60A4EEF3,85,0x16334D1C,0xCBC1EB51,1,0.0000,0.0000,0.0000,1,1
0x60A4EEF3,86,0x705D0EA6,0xCBC1EB51,1,0.0000,0.0000,0.0000,1,1
0x60A4EEF3,87,0xF2649711,0xCBC1EB51,1,0.0000,0.0000,0.0000,1,1
0x60A4EEF3,88,0x3E14D6B7,0xCBC1EB51,1,0.0000,0.0000,0.0000,1,1
0x60A4EEF3,89,0x541737F0,0xCBC1EB51,1,0.0000,0.0000,0.0000,1,1
0x60A4EEF3,90,0x7FA2D32C,0xCBC1EB51,1,0.0000,0.0000,0.0000,1,1
0xE43A561C,0,0xE43A561C,,0,0.0000,0.0000,0.0000,0,0
0xE43A561C,1,0x501D5FD7,0xE43A561C,1,0.0000,0.0000,0.0000,0,0
0xE43A561C,2,0x8C314A58,0x501D5FD7,2,0.0000,0.0000,0.0000,0,1
0xE43A561C,3,0x85CFA0F0,0x8C314A58,3,0.0000,0.0000,0.0000,0,1
0xE43A561C,4,0xEFD28665,0x8C314A58,3,0.0000,0.0000,0.0000,0,1
0xE43A561C,5,0x8DCB305A,0x8C314A58,3,0.0000,0.0000,0.0000,0,1
0xE43A561C,6,0x206376F6,0x501D5FD7,2,0.0000,0.0000,0.0000,1,1
0xE43A561C,7,0x408736C8,0x85CFA0F0,4,-0.4272,0.5499,0.0331,1,0
0xE43A561C,8,0x1C184A81,0xEFD28665,4,0.2226,0.3824,0.2768,1,0
0xE43A561C,9,0x21B5682E,0x8DCB305A,4,0.2421,0.6199,-0.3007,1,0
0x37B0103D,0,0x37B0103D,,0,0.0000,0.0000,0.0000,0,0
0x37B0103D,1,0x5E404CA9,0x37B0103D,1,0.0000,0.0000,0.0000,0,0
0x37B0103D,2,0x2D7DFEDA,0x5E404CA9,2,0.0000,0.0000,0.0000,0,1
0x37B0103D,3,0xE28EBBCD,0x2D7DFEDA,3,5.2755,9.7956,10.2652,1,1
0x37B0103D,4,0xB88C3B18,0x2D7DFEDA,3,-5.3207,9.3974,10.4912,1,1
0x37B0103D,5,0xC28A0C3F,0x2D7DFEDA,3,-4.2748,11.1388,13.1057,1,1
0x37B0103D,6,0x60873362,0x2D7DFEDA,3,4.1467,11.1743,13.6897,1,1
0x37B0103D,7,0x6237F34C,0x5E404CA9,2,0.0000,0.0000,0.0000,0,1
0x37B0103D,8,0x443DE524,0x37B0103D,1,0.0000,0.0000,0.0000,0,0
0x37B0103D,9,0xB2C8BB5D,0x443DE524,2,0.0000,0.0000,0.0000,0,1
0x37B0103D,10,0x6979FFA6,0xB2C8BB5D,3,9.5567,6.1170,-1.8662,1,1
0x37B0103D,11,0x8B7C73C3,0xB2C8BB5D,3,-7.3683,10.2500,5.6287,1,1
0x37B0103D,12,0xF17F52EC,0xB2C8BB5D,3,8.9045,6.6912,2.6746,1,1
0x37B0103D,13,0xEB818811,0xB2C8BB5D,3,-9.5753,6.6912,0.3368,1,1
0x37B0103D,14,0x56055623,0x443DE524,2,0.0000,0.0000,0.0000,0,1
0x37B0103D,15,0xD8326C21,0x56055623,3,0.0000,0.0000,0.0000,0,0
0x37B0103D,16,0x85A7F6D2,0xD8326C21,4,0.0000,0.0000,0.0000,0,1
0x37B0103D,17,0xC6AE0761,0x85A7F6D2,5,-0.0254,13.6284,-3.8653,1,1
0x37B0103D,18,0xACB01D0A,0x85A7F6D2,5,0.3176,14.5377,-4.4761,1,1
0x37B0103D,19,0xCEB29127,0x85A7F6D2,5,-0.5409,14.5366,-4.9304,1,1
