index,parent_index,depth,hash,name,in_swit,state,tx,ty,tz,bbox_dx,bbox_dy,bbox_dz
55,53,5,0x7F4D5682,,1,break_piece,-9.4814,12.2769,4.7085,0.634,0.706,2.429
127,53,5,0x865CB5BE,,0,break_piece,-9.4814,11.7000,4.7085,0.020,0.020,0.020
126,52,4,0xD87F696C,,1,intact,0.0000,0.0000,0.0000,0.634,1.807,2.429
56,2,3,0xF98D1FD7,,0,break_piece,0.0000,0.0000,0.0000,0.020,0.020,0.020
57,56,4,0xDA908A58,,1,break_piece,0.0000,0.0000,0.0000,0.020,0.020,0.020
58,57,5,0xCE3F9A41,,1,break_piece,9.4243,11.1827,4.7091,0.627,0.661,2.424
59,57,5,0xD43D651C,,1,break_piece,9.4243,12.2769,4.7085,0.627,0.706,2.429
129,57,5,0xB9E7B434,,0,break_piece,9.4243,11.7661,4.7085,0.020,0.020,0.020
128,56,4,0xC576B6F6,,1,intact,0.0000,0.0000,0.0000,0.627,1.807,2.429
60,2,3,0x384F5DF3,,0,break_piece,0.0000,0.0000,0.0000,0.020,0.020,0.020
61,60,4,0xD759F59A,,1,intact,0.0000,0.0000,0.0000,8.627,5.108,13.493
62,61,5,0xA7EDAEBB,,0,intact,0.0003,22.9543,-49.4901,1.825,1.966,1.324
63,60,4,0x37057BE4,,1,break_piece,0.0000,0.0000,0.0000,8.627,2.309,13.280
64,63,5,0x104449E1,,1,break_piece,-0.0000,24.0845,-49.9437,1.427,1.427,0.664
65,63,5,0x96414B3C,,1,break_piece,0.0000,21.8872,-49.4397,4.009,2.633,3.014
66,63,5,0x1848D3A7,,1,break_piece,3.0978,19.9843,-43.9465,3.198,1.384,6.444
67,63,5,0xF6465F8A,,1,break_piece,-0.8468,19.9843,-41.7302,6.353,1.320,7.676
68,63,5,0x984E1A55,,1,break_piece,-3.0251,19.9843,-52.0541,5.203,1.345,6.152
69,63,5,0x6E4B99A0,,1,break_piece,3.0251,19.9843,-52.0541,2.803,1.384,7.276
130,63,5,0xBCF23437,,0,break_piece,-9.0798,16.3331,-36.7397,0.020,0.020,0.020
131,63,5,0x2E076357,,0,break_piece,9.0952,16.3331,-36.7397,0.020,0.020,0.020
132,63,5,0x8FD484A9,,0,break_piece,0.0000,10.5916,-48.5820,0.020,0.020,0.020
133,63,5,0x6E9DF188,,0,break_piece,0.0000,10.5916,-48.8663,0.020,0.020,0.020
134,63,5,0x58C582E7,,0,break_piece,0.0000,18.6840,-48.8663,0.020,0.020,0.020
135,63,5,0x26B99B02,,0,break_piece,0.0000,18.6840,-48.8663,0.020,0.020,0.020
136,63,5,0x33B8D15A,,0,break_piece,0.0000,18.6840,-48.8663,0.020,0.020,0.020
70,2,3,0xF3DD91E6,,0,break_piece,0.0000,0.0000,0.0000,0.020,0.020,0.020
71,70,4,0x059B0B3F,,1,break_piece,0.0000,0.0000,0.0000,9.542,8.246,4.767
72,71,5,0xCD393302,,1,break_piece,-1.7841,33.9017,-20.3146,3.877,3.052,4.696
73,71,5,0xAF3B425F,,1,break_piece,-0.3092,34.8232,-18.6442,3.151,3.309,3.429
138,71,5,0xCB51F714,,0,break_piece,1.1669,30.3465,-19.8890,0.020,0.020,0.020
139,71,5,0xDA9591BB,,0,break_piece,1.1669,30.3465,-19.8890,0.020,0.020,0.020
140,71,5,0x825E55A5,,0,break_piece,1.1669,30.3465,-19.8890,0.020,0.020,0.020
137,70,4,0x7B6FD709,,1,intact,0.0000,0.0000,0.0000,11.346,8.543,4.753
74,2,3,0x56B0F619,,0,break_piece,0.0000,0.0000,0.0000,0.020,0.020,0.020
75,74,4,0xA1FD703C,,1,intact,0.0000,0.0000,0.0000,17.390,6.373,20.642
76,75,5,0x00E40D4E,,0,intact,-7.2634,21.8964,17.7432,0.847,0.982,0.361
77,76,6,0xCB91A019,,0,intact,0.0000,0.0000,0.0000,0.656,0.695,0.738
78,74,4,0x4DF1178A,,1,break_piece,0.0000,0.0000,0.0000,17.324,5.079,20.715
79,78,5,0x2A0C80DD,,1,break_piece,2.1828,20.4799,20.1963,3.982,4.895,4.003
80,78,5,0x400A64E8,,1,break_piece,5.1239,21.0725,19.0275,3.522,1.540,2.647
81,78,5,0xCA076C8F,,1,break_piece,-6.6795,20.4800,19.0076,3.786,2.727,3.939
82,78,5,0xA804F872,,1,break_piece,-4.1450,19.9424,19.9674,2.951,3.217,2.731
141,78,5,0xC9E19C79,,0,break_piece,0.0000,17.7862,18.7777,0.020,0.020,0.020
142,78,5,0xB49DFF47,,0,break_piece,0.0000,17.7862,18.7777,0.020,0.020,0.020
143,78,5,0x99DB55A0,,0,break_piece,-0.0000,20.3498,19.2682,0.020,0.020,0.020
83,2,3,0xC053166E,,0,break_piece,-0.0000,5.2086,-74.2731,0.020,0.020,0.020
84,2,3,0xB2D620B8,,0,break_piece,-0.0000,10.8240,-74.2731,0.020,0.020,0.020
85,2,3,0x07BBFF80,hp_seat_driver,0,break_piece,0.0000,20.0287,18.3815,0.020,0.020,0.020
86,2,3,0x143A725A,,0,break_piece,4.2763,21.0901,2.0508,0.020,0.020,0.020
87,2,3,0x939C0C2F,,0,break_piece,0.0000,13.9150,-36.2065,0.020,0.020,0.020
88,2,3,0x899E3B08,,0,break_piece,0.0000,13.9150,-44.6123,0.020,0.020,0.020
89,2,3,0xBB0CA4DE,,0,break_piece,6.6712,10.8185,26.2647,0.020,0.020,0.020
90,2,3,0xDD139629,,0,break_piece,-6.6712,10.8185,26.2647,0.020,0.020,0.020
91,2,3,0xC3112EA4,,0,break_piece,-3.8311,21.0657,2.0759,0.020,0.020,0.020
92,2,3,0x652C7127,,0,break_piece,3.8311,21.0657,2.0759,0.020,0.020,0.020
93,2,3,0x4329FD0A,,0,break_piece,6.6210,14.8947,-0.9797,0.020,0.020,0.020
94,2,3,0xE531B7D5,,0,break_piece,-6.6022,14.8920,-0.9918,0.020,0.020,0.020
95,2,3,0xBB2F3720,,0,break_piece,-6.0046,14.8335,-23.2325,0.020,0.020,0.020
96,2,3,0xBD226E53,,0,break_piece,6.0046,14.8335,-23.2325,0.020,0.020,0.020
97,2,3,0xDB205EF6,,0,break_piece,0.0006,17.9773,-27.9992,0.020,0.020,0.020
98,2,3,0xDF392D5C,,0,break_piece,0.0000,10.5916,-65.4936,0.020,0.020,0.020
99,2,3,0x5D27E761,,0,break_piece,-4.8977,10.5916,-28.4151,0.020,0.020,0.020
144,2,3,0xBEAC90DB,hp_seat_sam,0,break_piece,-0.0000,15.0014,26.8359,0.020,0.020,0.020
145,2,3,0xE7B0ED18,hp_seat_ciwsrr,0,break_piece,-6.2759,18.0607,-44.9743,0.020,0.020,0.020
146,2,3,0x078E8D36,hp_seat_ciwsrl,0,break_piece,6.3128,18.0607,-44.9743,0.020,0.020,0.020
147,2,3,0x8B203A6C,hp_seat_ciwsfr,0,break_piece,-5.1934,21.1556,9.9223,0.020,0.020,0.020
148,2,3,0x0AE956F2,hp_seat_ciwsfl,0,break_piece,5.1340,21.1556,9.9223,0.020,0.020,0.020
149,2,3,0xC7CE8761,hp_seat_cannon,0,break_piece,-0.0000,11.7544,39.0408,0.020,0.020,0.020
